Date,BHP,BBL,LIN,RIO,CTA-PB,VALE,CTA-PA,SHW,APD,ECL,DD,SCCO,NEM,DOW,GOLD,FCX,CRH,PPG,CTVA,NTR,LYB,FNV,MT,VMC,MLM,PKX,ALB,WPM,AVTR,AEM,SUZ,NUE,AVTR-PA,CE,SQM,FMC,EMN,JHX,SMG,IFF,SBSW,RPM,MOS,KL,TECK,WLK,AU,CX,CF,KGC,SID,GFI,ACH,STLD,RS,CLF,RGLD,ICL,AXTA,PAAS,HUN,TX,MDU,ASH,AUY,KWR,EXP,NEU,CC,ESI,X,WDFC,OLN,BCPC,AVNT,SSRM,BAK,AA,UFPI,UNVR,SXT,LTHM,AGI,AG,NGVT,HL,SCL,SUM,MEOH,FUL,CBT,BVN,CMC,TROX,IOSP,LAC,AMRS
2019-12-31,47.70560073852539,40.24169158935547,206.31788635253906,53.47990417480469,101.92023468017578,10.818425178527832,80.71402740478516,191.2953338623047,225.1144256591797,189.5076904296875,61.7835578918457,39.106468200683594,41.16252517700195,49.22312545776367,17.92943572998047,12.987821578979492,38.19131851196289,129.17042541503906,28.668033599853516,44.29231643676758,85.52168273925781,101.58355712890625,17.377593994140625,139.87045288085938,275.1130065917969,48.31770324707031,71.24667358398438,29.044965744018555,18.149999618530273,58.96781539916992,9.84000015258789,53.19425582885742,57.729454040527344,117.83680725097656,24.95824432373047,96.15927124023438,74.27191162109375,19.01934051513672,100.4880599975586,122.81047058105469,8.867975234985352,73.9756088256836,21.211193084716797,42.61591720581055,16.96402931213379,67.99301147460938,21.658979415893555,3.7799999713897705,44.889102935791016,4.617279052734375,3.3041908740997314,6.225366115570068,8.6899995803833,32.46934127807617,114.89865112304688,8.2083158493042,120.05311584472656,4.120479583740234,30.399999618530273,23.40081787109375,22.794706344604492,17.7464599609375,27.94153594970703,74.44337463378906,3.7877707481384277,161.98426818847656,90.05452728271484,465.8893127441406,16.481164932250977,11.504936218261719,11.318787574768066,190.3701171875,15.988128662109375,101.1089096069336,35.365089416503906,19.134729385375977,12.965815544128418,21.46312713623047,47.0357666015625,24.239999771118164,63.01129150390625,8.550000190734863,5.887839317321777,12.245823860168457,87.37999725341797,3.357599973678589,100.30587768554688,23.899999618530273,37.48658752441406,50.23371124267578,44.734275817871094,15.100000381469727,21.342330932617188,10.839914321899414,101.3746109008789,3.1700000762939453,3.0899999141693115
2020-01-02,47.88871383666992,40.52418518066406,204.2246856689453,53.9573974609375,104.68080139160156,11.023319244384766,81.76570892333984,187.463134765625,221.42620849609375,186.79750061035156,61.109901428222656,39.318199157714844,40.944637298583984,48.341739654541016,17.832990646362305,13.067015647888184,38.67427062988281,127.34158325195312,27.87277603149414,43.7561149597168,84.9604721069336,101.7310562133789,17.546016693115234,138.6367645263672,272.132080078125,48.88086700439453,70.82723236083984,29.005910873413086,18.450000762939453,58.202125549316406,10.149999618530273,52.09785461425781,58.7465934753418,116.21932983398438,25.18267250061035,96.21707153320312,73.71903991699219,19.183969497680664,99.97699737548828,121.4112319946289,9.019794464111328,73.2238998413086,21.00535774230957,42.77063751220703,17.13005828857422,66.94622039794922,21.99831199645996,3.8399999141693115,43.62913131713867,4.6367621421813965,3.467005729675293,6.215933799743652,8.960000038146973,32.24040985107422,114.40934753417969,7.716210842132568,119.21646881103516,4.129083156585693,30.649999618530273,23.193378448486328,22.521093368530273,18.327251434326172,27.443084716796875,74.66709899902344,3.74941349029541,166.63153076171875,90.6008529663086,460.40228271484375,16.499387741088867,11.524637222290039,10.733503341674805,189.49740600585938,15.83983325958252,102.0838851928711,35.35547637939453,18.846614837646484,13.158550262451172,21.373323440551758,46.779388427734375,24.350000381469727,62.20089340209961,8.630000114440918,5.799814701080322,12.205870628356934,86.29000091552734,3.3873131275177,102.06836700439453,23.90999984741211,36.43855285644531,50.14603805541992,44.338905334472656,15.0600004196167,21.41900062561035,10.517186164855957,101.57061767578125,3.299999952316284,3.069999933242798
2020-01-03,47.56608963012695,40.13041305541992,198.91409301757812,53.011417388916016,106.28192901611328,10.892187118530273,81.50945281982422,185.03726196289062,216.50222778320312,185.90391540527344,59.820343017578125,38.250328063964844,40.575172424316406,47.14555740356445,17.910146713256836,12.671045303344727,37.72730255126953,125.49337005615234,27.543033599853516,43.31235885620117,82.86949157714844,101.51471710205078,16.75342559814453,138.03453063964844,271.3254089355469,48.02180099487305,69.8127670288086,28.839942932128906,18.399999618530273,58.307403564453125,9.979999542236328,51.40787887573242,58.57248306274414,114.64012908935547,24.986295700073242,95.5909194946289,71.17021179199219,18.941869735717773,101.11267852783203,120.26897430419922,8.9840726852417,72.42400360107422,20.348630905151367,42.53855514526367,16.544078826904297,65.47295379638672,21.959529876708984,3.799999952316284,43.32823944091797,4.588056564331055,3.3903870582580566,6.168772220611572,8.970000267028809,31.6680965423584,113.98721313476562,7.696526527404785,118.24202728271484,4.008650302886963,30.40999984741211,23.193378448486328,21.841779708862305,18.004589080810547,27.48069953918457,73.52898406982422,3.7206461429595947,163.24453735351562,90.33264923095703,455.0780334472656,15.397000312805176,11.426135063171387,10.654143333435059,188.82078552246094,15.515433311462402,102.75045013427734,34.067378997802734,18.39954376220703,13.727994918823242,21.453147888183594,46.779388427734375,24.010000228881836,61.33328628540039,8.25,5.73135232925415,11.956160545349121,84.44000244140625,3.317981719970703,100.0806655883789,23.329999923706055,36.60352325439453,49.045326232910156,43.60462951660156,14.6899995803833,21.256080627441406,10.232423782348633,100.88459777832031,3.5199999809265137,3.1500000953674316
2020-01-06,47.513771057128906,40.07048797607422,198.0709991455078,52.6600456237793,105.3589859008789,10.76924991607666,81.1754379272461,184.69635009765625,216.4064178466797,184.3229522705078,59.39690399169922,38.31476593017578,40.98252868652344,46.95669174194336,17.736541748046875,12.720541954040527,37.79358673095703,124.91279602050781,27.504243850708008,43.71913528442383,82.6522445678711,102.15390014648438,16.505741119384766,137.79165649414062,272.1615905761719,47.15319061279297,69.73473358154297,28.586103439331055,18.489999771118164,58.37440490722656,9.8100004196167,50.973106384277344,58.95734786987305,113.37678527832031,25.36969566345215,94.7528305053711,70.7579116821289,19.232391357421875,99.42808532714844,119.47891998291016,9.001933097839355,72.04814147949219,20.348630905151367,43.09941482543945,16.3194522857666,66.62635803222656,22.02739715576172,3.8399999141693115,43.25300979614258,4.529609203338623,3.3041908740997314,6.187636852264404,8.9399995803833,31.572708129882812,113.708984375,7.6670002937316895,116.94276428222656,4.034458160400391,30.18000030517578,22.877283096313477,21.756864547729492,17.512527465820312,27.51832389831543,72.72163391113281,3.7110562324523926,163.884521484375,90.06444549560547,453.2203369140625,15.670319557189941,11.396585464477539,10.703743934631348,189.70330810546875,15.580312728881836,102.98921966552734,33.971256256103516,18.250518798828125,14.271158218383789,20.954238891601562,46.631473541259766,23.979999542236328,61.2188720703125,8.420000076293945,5.7117919921875,11.636529922485352,81.72000122070312,3.278364658355713,100.39399719238281,23.610000610351562,37.12753677368164,48.363460540771484,43.35045623779297,14.59000015258789,21.198583602905273,10.128012657165527,100.37496948242188,3.630000114440918,3.200000047683716
2020-01-07,47.513771057128906,40.18177032470703,198.49740600585938,52.605987548828125,106.51197814941406,10.843012809753418,81.1754379272461,183.69647216796875,217.32606506347656,184.08731079101562,58.482662200927734,38.3700065612793,40.954105377197266,46.93870162963867,17.813697814941406,12.918527603149414,37.62313461303711,123.93547821044922,27.61092185974121,44.14440155029297,82.29923248291016,102.35059356689453,16.713796615600586,136.23744201660156,271.5516357421875,47.16273498535156,70.65165710449219,28.664209365844727,18.8799991607666,58.84339141845703,10.020000457763672,50.85968780517578,59.928672790527344,112.93651580810547,26.05232810974121,96.4771728515625,70.26126861572266,18.932186126708984,99.96754455566406,119.2790298461914,9.126959800720215,72.25053405761719,20.505462646484375,43.63126754760742,16.309688568115234,66.12234497070312,21.804407119750977,3.759999990463257,42.858097076416016,4.6367621421813965,3.313768148422241,6.168772220611572,8.619999885559082,32.2690315246582,114.02559661865234,7.873684406280518,118.2912368774414,4.008650302886963,30.549999237060547,23.213132858276367,21.42664337158203,17.326997756958008,27.40546226501465,72.87725830078125,3.768592357635498,165.61740112304688,89.85585021972656,447.7428894042969,15.560994148254395,11.514784812927246,11.04102611541748,184.9376983642578,15.598852157592773,101.89485931396484,33.75977325439453,18.538633346557617,13.947011947631836,21.273540496826172,46.31593322753906,23.68000030517578,60.49427032470703,8.670000076293945,5.750913143157959,11.936182975769043,81.52999877929688,3.377408981323242,100.12962341308594,23.469999313354492,37.39925003051758,48.21734619140625,43.275146484375,14.670000076293945,21.706506729125977,10.061568260192871,99.74774932861328,3.630000114440918,3.119999885559082
2020-01-08,47.74919891357422,40.49850082397461,200.97825622558594,53.065467834472656,107.29414367675781,10.834816932678223,81.79430389404297,186.62062072753906,218.50440979003906,184.15602111816406,59.185184478759766,38.5909423828125,39.86465835571289,47.42436981201172,17.18679428100586,13.04721736907959,37.58525466918945,124.25480651855469,27.833984375,44.12590408325195,81.95525360107422,99.15459442138672,16.832685470581055,137.3253936767578,272.47637939453125,47.773624420166016,69.4323501586914,27.3559627532959,18.670000076293945,56.67074203491211,10.579999923706055,50.73680877685547,59.397193908691406,112.05598449707031,26.099084854125977,96.76617431640625,70.46742248535156,19.397018432617188,99.42808532714844,118.16534423828125,8.921558380126953,71.0458755493164,20.691696166992188,41.98735809326172,15.743246078491211,65.84127044677734,20.88336944580078,3.8399999141693115,43.05555725097656,4.402975559234619,3.2946135997772217,5.857504367828369,8.510000228881836,32.297645568847656,113.91046905517578,7.8047895431518555,109.84607696533203,4.094674110412598,30.549999237060547,22.116682052612305,21.5870361328125,17.681926727294922,27.15153694152832,72.25471496582031,3.5576279163360596,162.8704071044922,90.26311492919922,442.6196594238281,15.661210060119629,11.554186820983887,11.011266708374023,186.0751495361328,15.469094276428223,102.84993743896484,33.57713317871094,18.10149383544922,14.717951774597168,20.41541290283203,46.789249420166016,23.6299991607666,60.41800308227539,7.690000057220459,5.506402015686035,11.167074203491211,80.7699966430664,3.22884202003479,100.93254089355469,23.56999969482422,36.681148529052734,47.52574920654297,43.47283172607422,14.149999618530273,22.204843521118164,10.251407623291016,100.21817779541016,3.509999990463257,3.049999952316284
2020-01-09,47.2957763671875,39.88216781616211,202.39309692382812,52.51589584350586,108.33943939208984,10.646313667297363,82.60948944091797,185.42408752441406,223.68704223632812,186.6109161376953,58.6558837890625,38.88552474975586,39.46676254272461,46.93870162963867,16.974618911743164,12.829434394836426,37.509498596191406,124.49671173095703,27.863075256347656,44.03346633911133,81.98240661621094,99.13492584228516,16.68407440185547,138.22879028320312,273.1158752441406,48.60405731201172,70.95404815673828,27.111886978149414,18.139999389648438,56.44103240966797,10.479999542236328,50.56667709350586,58.14180374145508,112.80252075195312,25.52866554260254,95.87028503417969,70.62671661376953,19.648801803588867,100.29878997802734,117.68940734863281,8.805461883544922,70.97840881347656,20.681894302368164,41.687591552734375,15.225631713867188,65.66678619384766,20.863977432250977,3.799999952316284,42.848690032958984,4.344529151916504,3.2467267513275146,5.753747463226318,8.479999542236328,31.992408752441406,114.83149719238281,7.637474060058594,110.42680358886719,4.0172529220581055,30.530000686645508,21.859859466552734,21.530427932739258,18.133655548095703,27.24558448791504,72.29361724853516,3.500091791152954,162.75225830078125,90.59091186523438,441.2024841308594,15.251230239868164,11.504936218261719,10.763263702392578,188.08534240722656,15.320798873901367,101.75557708740234,33.70209503173828,17.60474395751953,14.919448852539062,19.766830444335938,47.400611877441406,23.850000381469727,60.1129035949707,7.690000057220459,5.389036178588867,10.837455749511719,79.94999694824219,3.0406579971313477,99.62044525146484,24.270000457763672,36.99168395996094,47.184814453125,42.87035369873047,14.100000381469727,21.85025405883789,10.469724655151367,100.0025634765625,3.7300000190734863,2.940000057220459
2020-01-10,47.42657470703125,39.890724182128906,202.61602783203125,52.6600456237793,108.33943939208984,10.629922866821289,81.36946868896484,185.90272521972656,222.2500457763672,185.5209503173828,57.46255874633789,39.57596969604492,40.04465103149414,46.31813049316406,17.215730667114258,12.770038604736328,37.073890686035156,123.94515228271484,27.49454689025879,43.645172119140625,80.95051574707031,100.70834350585938,16.267963409423828,139.064208984375,272.3878173828125,48.85222625732422,70.32975769042969,27.111886978149414,18.200000762939453,56.75688171386719,10.5,49.876705169677734,58.32508087158203,111.9889907836914,25.93076515197754,94.40602111816406,70.08321380615234,19.716588973999023,102.11585235595703,119.92630004882812,8.832254409790039,70.39054107666016,20.211406707763672,43.15743637084961,15.469788551330566,65.60865020751953,21.20330810546875,3.8299999237060547,42.096466064453125,4.412716388702393,3.2946135997772217,5.819774627685547,8.479999542236328,31.181625366210938,113.22927856445312,7.480000019073486,112.00165557861328,4.008650302886963,30.790000915527344,22.284608840942383,21.313425064086914,18.206254959106445,27.142131805419922,72.35199737548828,3.567216634750366,162.5553436279297,90.37238311767578,439.35430908203125,14.96879768371582,11.57388687133789,10.634303092956543,181.9272918701172,15.191039085388184,104.0139389038086,33.5386848449707,17.922664642333984,14.665388107299805,19.407615661621094,46.592037200927734,23.81999969482422,60.34172821044922,7.699999809265137,5.623767375946045,10.997270584106445,78.95999908447266,3.050562620162964,99.64983367919922,24.360000610351562,37.23427963256836,46.8925895690918,42.20197677612305,13.970000267028809,21.658586502075195,10.7449951171875,99.79676055908203,3.950000047683716,2.950000047683716
2020-01-13,47.740478515625,40.207454681396484,205.2519073486328,53.27268600463867,106.38822174072266,10.91677474975586,81.3508529663086,188.44985961914062,226.90582275390625,187.95620727539062,58.126590728759766,40.88319396972656,40.215171813964844,47.08260726928711,16.829944610595703,13.393691062927246,37.51896286010742,125.03858184814453,27.71760368347168,44.35703659057617,82.55268859863281,99.67578125,16.832685470581055,138.1510772705078,267.7442932128906,49.82583999633789,73.99744415283203,26.809236526489258,18.18000030517578,55.63705825805664,10.699999809265137,50.443809509277344,58.004356384277344,113.06092834472656,28.19374656677246,95.24412536621094,71.39510345458984,19.832796096801758,104.07488250732422,121.23036193847656,8.564339637756348,71.5277328491211,20.632884979248047,42.25813293457031,15.45025634765625,66.80082702636719,20.020498275756836,3.8299999237060547,42.63242721557617,4.2373762130737305,3.428696393966675,5.602829456329346,8.5,31.71578598022461,115.6278076171875,7.480000019073486,109.43267822265625,4.060263633728027,31.219999313354492,21.72156524658203,21.719125747680664,18.843515396118164,27.20796775817871,72.82862854003906,3.442556142807007,164.61312866210938,89.89558410644531,446.06707763671875,15.38788890838623,11.721639633178711,10.634303092956543,181.7508087158203,15.487627983093262,105.8644027709961,33.54829788208008,17.276891708374023,14.41132926940918,19.56726837158203,48.633209228515625,23.65999984741211,61.104454040527344,8.010000228881836,5.320572376251221,10.617709159851074,80.31999969482422,3.0208492279052734,103.28253936767578,23.510000228881836,37.84563446044922,47.53548812866211,43.14335250854492,13.430000305175781,21.658586502075195,11.37147045135498,100.90419006347656,4.0,2.8499999046325684
2020-01-14,48.124149322509766,40.370094299316406,203.46881103515625,53.36277389526367,106.38822174072266,11.023319244384766,81.3508529663086,188.322021484375,224.66415405273438,186.53236389160156,57.90524673461914,40.772727966308594,40.575172424316406,46.98366928100586,16.93603515625,13.125420570373535,37.130706787109375,125.72560119628906,27.775793075561523,44.6990966796875,83.21346282958984,100.79682922363281,16.713796615600586,135.4117431640625,256.52886962890625,49.94038391113281,76.2604751586914,27.072834014892578,17.739999771118164,55.70405960083008,10.680000305175781,51.039268493652344,57.133827209472656,113.36720275878906,29.194318771362305,94.67575073242188,71.71370697021484,19.997425079345703,104.86040496826172,123.07701873779297,8.79653263092041,71.07478332519531,20.917139053344727,42.925357818603516,15.82137393951416,68.06085968017578,20.214401245117188,3.819999933242798,42.707645416259766,4.354269504547119,3.409541606903076,5.72545051574707,8.619999885559082,32.05917739868164,116.31856536865234,7.77526330947876,110.60398864746094,4.034458160400391,30.649999618530273,22.245094299316406,21.898386001586914,18.899978637695312,27.198562622070312,73.18854522705078,3.5288596153259277,165.59771728515625,88.98172760009766,444.76470947265625,16.58138656616211,11.95804214477539,10.822784423828125,184.8396453857422,15.923248291015625,106.33199310302734,34.31731414794922,17.644485473632812,14.455131530761719,20.325611114501953,47.14423751831055,23.59000015258789,61.34281539916992,8.399999618530273,5.4574995040893555,10.81747817993164,82.29000091552734,3.1099891662597656,102.27400207519531,22.6200008392334,38.82573699951172,48.051753997802734,43.152767181396484,13.819999694824219,21.40808868408203,11.494866371154785,102.0018310546875,4.150000095367432,2.9000000953674316
