Date,GC=F,SI=F,PL=F,HG=F,PA=F,CL=F,ZC=F,ZO=F,KE=F,ZR=F,ZM=F,ZL=F,ZS=F,GF=F,HE=F,LE=F,CC=F,KC=F,CT=F,SB=F
2019-12-31,1519.5,17.827999114990234,971.4000244140625,2.7939999103546143,1909.0999755859375,61.060001373291016,387.75,292.0,486.0,1313.5,299.8999938964844,34.4900016784668,943.0,145.3249969482422,71.42500305175781,124.69999694824219,2540.0,129.6999969482422,69.05000305175781,13.420000076293945
2020-01-02,1524.5,17.965999603271484,978.5999755859375,2.8329999446868896,1927.800048828125,61.18000030517578,391.5,298.0,485.25,1293.5,300.6000061035156,34.970001220703125,944.25,144.64999389648438,71.55000305175781,125.7750015258789,2532.0,127.0999984741211,69.2699966430664,13.130000114440918
2020-01-03,1549.199951171875,18.06800079345703,984.5,2.7985000610351562,1955.5,63.04999923706055,386.5,290.75,475.0,1299.5,296.1000061035156,34.810001373291016,930.5,143.35000610351562,68.55000305175781,124.7249984741211,2519.0,126.3499984741211,69.19999694824219,13.3100004196167
2020-01-06,1566.199951171875,18.097000122070312,960.4000244140625,2.80049991607666,1989.4000244140625,63.27000045776367,384.75,294.25,477.25,1281.5,297.70001220703125,34.2400016784668,932.75,147.4250030517578,68.625,127.2750015258789,2484.0,122.1500015258789,70.04000091552734,13.729999542236328
2020-01-07,1571.800048828125,18.31599998474121,966.0,2.803999900817871,2014.0999755859375,62.70000076293945,384.5,293.25,475.0,1283.5,296.3999938964844,34.459999084472656,935.0,145.89999389648438,69.2249984741211,126.5250015258789,2533.0,122.4000015258789,69.83000183105469,13.59000015258789
2020-01-08,1557.4000244140625,18.08799934387207,959.0,2.819000005722046,2061.199951171875,59.61000061035156,384.25,299.0,480.0,1283.5,296.8999938964844,34.27000045776367,938.25,146.8249969482422,69.0250015258789,126.3499984741211,2501.0,119.1500015258789,69.95999908447266,13.470000267028809
2020-01-09,1551.699951171875,17.860000610351562,967.0999755859375,2.810499906539917,2060.199951171875,59.560001373291016,383.25,302.0,490.25,1300.0,296.20001220703125,34.349998474121094,933.75,146.9250030517578,67.0250015258789,126.7249984741211,2554.0,117.3499984741211,70.69000244140625,13.710000038146973
2020-01-10,1557.5,18.033000946044922,981.2000122070312,2.81850004196167,2072.699951171875,59.040000915527344,385.75,308.5,494.75,1307.5,298.70001220703125,34.06999969482422,935.0,147.60000610351562,67.25,127.42500305175781,2589.0,118.94999694824219,71.30999755859375,14.069999694824219
2020-01-13,1548.4000244140625,17.926000595092773,977.2999877929688,2.8615000247955322,2078.89990234375,58.08000183105469,389.5,311.0,492.75,1297.0,299.0,33.63999938964844,929.25,146.02499389648438,65.9000015258789,126.55000305175781,2583.0,114.55000305175781,71.52999877929688,14.15999984741211
2020-01-14,1542.4000244140625,17.673999786376953,982.2000122070312,2.875999927520752,2123.300048828125,58.22999954223633,389.0,313.0,497.0,1305.0,297.20001220703125,33.650001525878906,928.5,145.89999389648438,67.67500305175781,126.8499984741211,2655.0,114.9000015258789,71.37999725341797,14.319999694824219
2020-01-15,1552.0999755859375,17.92300033569336,1020.4000244140625,2.869999885559082,2176.10009765625,57.810001373291016,387.5,305.75,496.5,1336.0,300.1000061035156,33.29999923706055,928.75,145.4250030517578,67.875,126.5999984741211,2689.0,114.30000305175781,70.31999969482422,14.520000457763672
2020-01-16,1549.0,17.875,995.7000122070312,2.8519999980926514,2188.800048828125,58.52000045776367,375.5,305.5,484.75,1333.5,300.6000061035156,33.029998779296875,924.0,145.4250030517578,66.875,126.125,2712.0,112.94999694824219,70.22000122070312,14.430000305175781
2020-01-17,1558.800048828125,18.01300048828125,1019.4000244140625,2.8494999408721924,2237.89990234375,58.540000915527344,389.25,311.75,494.25,1351.5,300.6000061035156,33.349998474121094,929.75,145.35000610351562,67.67500305175781,126.3499984741211,2797.0,112.1500015258789,71.25,14.449999809265137
2020-01-21,1556.4000244140625,17.750999450683594,1002.0,2.7985000610351562,2245.699951171875,58.34000015258789,387.5,314.75,500.0,1341.5,299.1000061035156,32.75,916.0,145.0749969482422,67.3499984741211,126.375,2818.0,111.05000305175781,69.23999786376953,14.550000190734863
2020-01-22,1555.300048828125,17.770999908447266,1015.7999877929688,2.7669999599456787,2348.60009765625,56.7400016784668,388.75,313.25,492.5,1343.5,297.8999938964844,33.02000045776367,913.75,143.9250030517578,67.55000305175781,126.17500305175781,2803.0,111.0,71.12999725341797,14.65999984741211
2020-01-23,1564.5999755859375,17.773000717163086,1001.7000122070312,2.7260000705718994,2342.0,55.59000015258789,393.75,316.5,492.25,1362.5,298.8999938964844,32.47999954223633,909.5,142.77499389648438,68.5,124.67500305175781,2771.0,112.5999984741211,70.02999877929688,14.569999694824219
2020-01-24,1571.0999755859375,18.05699920654297,1005.2000122070312,2.685499906539917,2329.300048828125,54.189998626708984,387.25,303.25,486.0,1358.5,298.29998779296875,32.02000045776367,902.0,141.85000610351562,67.2249984741211,124.8499984741211,2733.0,110.1500015258789,69.4000015258789,14.390000343322754
2020-01-27,1576.800048828125,18.0,985.9000244140625,2.5964999198913574,2208.60009765625,53.13999938964844,380.5,300.5,486.5,1347.0,297.79998779296875,31.520000457763672,897.25,141.89999389648438,65.94999694824219,122.25,2734.0,106.5999984741211,69.51000213623047,14.210000038146973
2020-01-28,1569.199951171875,17.402000427246094,990.0999755859375,2.5794999599456787,2230.10009765625,53.47999954223633,386.5,307.0,482.0,1358.5,297.6000061035156,31.459999084472656,895.0,142.0500030517578,66.2249984741211,122.1500015258789,2703.0,105.05000305175781,70.36000061035156,14.539999961853027
