Date,BRK-A,BRK-B,JPM,V,JPM-PC,JPM-PD,BAC-PL,BAC-PK,BML-PL,BAC-PE,MA,WFC-PL,BML-PG,BAC,BML-PH,WFC-PR,WFC-PY,WFC-PQ,PYPL,BAC-PB,C-PJ,WFC,C,LFC,MS,RY,HDB,HSBC,BLK,SCHW,GS,TD,RY-PT,USB-PH,AXP,MS-PK,GS-PK,MS-PI,GS-PJ,MS-PF,MS-PE,GS-PA,MS-PA,GS-PD,USB-PP,USB-PM,SPGI,USB,CB,TFC,BNS,CME,PNC,ICE,WBK,BAM,MMC,UBS,PGR,IBN,AIG-PA,MCO,MET-PA,BMO,MET-PE,PUK,AON,COF,MET,BX,COF-PG,SMFG,COF-PH,CM,TRV,BK,MFC,TROW,ALL-PG,ING,ALL-PH,AIG,ALL,MSCI,CS,AFL,BCS,PRU,ITUB,IBKR
2019-12-31,339590,226.5,131.2198486328125,185.6103057861328,25.2591609954834,24.599605560302734,1324.7926025390625,24.61280632019043,21.91648292541504,22.44761848449707,295.53912353515625,1306.5028076171875,19.966127395629883,33.65226745605469,19.58063507080078,25.610231399536133,23.96581268310547,24.507261276245117,108.16999816894531,24.629032135009766,24.870656967163086,51.02534866333008,74.51580810546875,12.518592834472656,45.253456115722656,71.93973541259766,63.147483825683594,36.55733871459961,480.68206787109375,46.21644592285156,220.6489715576172,50.60221862792969,26.169452667236328,19.871105194091797,120.89717864990234,25.529191970825195,25.414100646972656,25.104780197143555,24.50303077697754,24.97964859008789,25.192054748535156,20.50603675842285,20.646821975708008,21.356035232543945,24.765111923217773,24.39046287536621,268.6897277832031,55.00110626220703,149.0994110107422,52.271453857421875,48.267337799072266,192.7635040283203,149.2537384033203,90.39192962646484,15.872900009155273,37.65569305419922,107.8495101928711,10.679628372192383,65.45777130126953,15.045153617858887,24.55344009399414,233.72239685058594,22.800071716308594,67.97388458251953,24.62618064880371,35.71129608154297,204.76568603515625,100.18958282470703,47.079593658447266,52.16011428833008,23.21034812927246,6.778717041015625,23.91592788696289,71.28781127929688,130.3446502685547,47.44675827026367,17.75409698486328,114.99867248535156,24.62602424621582,11.433173179626465,23.734642028808594,48.0275993347168,107.21158599853516,254.3416290283203,12.924561500549316,50.227848052978516,9.015910148620605,84.06550598144531,6.897073745727539,46.12095642089844
2020-01-02,342261,228.38999938964844,132.81069946289062,188.7910919189453,25.582305908203125,24.87863540649414,1330.7353515625,24.867300033569336,22.107698440551758,22.578142166137695,300.2901306152344,1308.7645263671875,20.06890296936035,34.053565979003906,19.81385040283203,25.78789710998535,24.127439498901367,24.722003936767578,110.75,24.84405517578125,25.07250213623047,50.97792434692383,75.76567077636719,12.889715194702148,46.0678825378418,72.39391326904297,63.47632598876953,36.81919860839844,486.68701171875,46.867515563964844,224.86180114746094,50.97183609008789,26.169452667236328,20.05603790283203,122.64156341552734,25.89826202392578,25.85150718688965,25.327577590942383,24.94156265258789,25.359201431274414,25.491437911987305,20.918973922729492,20.81369972229004,21.550682067871094,25.17154312133789,24.38163185119629,273.4032287597656,54.91762161254883,149.4442596435547,52.59629440307617,48.46385955810547,193.8487091064453,149.9456329345703,90.5091323852539,15.872900009155273,37.70130157470703,108.46904754638672,10.968269348144531,67.21199798583984,15.184737205505371,24.948591232299805,237.96546936035156,23.049001693725586,68.09667205810547,24.96858787536621,36.292572021484375,205.25723266601562,100.87108612060547,47.67998123168945,52.029579162597656,23.381811141967773,6.8336052894592285,24.085168838500977,71.382080078125,130.8776092529297,48.00294876098633,17.9903507232666,118.13225555419922,24.941280364990234,11.793721199035645,23.879919052124023,48.429927825927734,107.5643539428711,262.0946044921875,13.212841987609863,50.65511703491211,9.243202209472656,85.05198669433594,7.074195384979248,47.288326263427734
2020-01-03,339155,226.17999267578125,131.0580596923828,187.2896270751953,25.672069549560547,24.89664077758789,1339.046142578125,24.876388549804688,22.17143440246582,22.65947723388672,297.3603820800781,1312.8101806640625,20.012842178344727,33.34650802612305,19.981765747070312,25.86784553527832,24.109481811523438,24.856216430664062,108.76000213623047,24.835092544555664,25.204137802124023,50.66494369506836,74.33857727050781,12.473334312438965,45.324275970458984,72.13957214355469,61.792259216308594,36.24871826171875,481.5139465332031,45.681976318359375,222.23240661621094,50.9267692565918,25.4669189453125,20.102270126342773,121.42341613769531,25.943269729614258,25.69975471496582,25.38995933532715,25.014652252197266,25.685792922973633,25.737987518310547,21.022207260131836,20.820940017700195,21.623538970947266,25.135417938232422,24.337478637695312,272.4880676269531,54.277530670166016,149.21434020996094,52.16007995605469,48.40404510498047,196.44168090820312,148.50572204589844,92.46247863769531,15.816811561584473,37.688270568847656,108.30448150634766,10.789990425109863,67.20295715332031,14.875658988952637,25.05636215209961,237.37478637695312,23.021345138549805,67.9300308227539,24.923534393310547,35.29877471923828,204.4511260986328,99.30364990234375,47.1904296875,52.21607208251953,23.426929473876953,6.769569396972656,24.15642738342285,71.14217376708984,130.41128540039062,47.39019012451172,17.832847595214844,117.74527740478516,24.941280364990234,11.575493812561035,23.97071647644043,48.055667877197266,107.5738754272461,256.8733825683594,12.953389167785645,50.303810119628906,9.006439208984375,83.63506317138672,7.013859748840332,46.71453857421875
2020-01-06,340210,226.99000549316406,130.95387268066406,186.8845977783203,25.618209838867188,24.824630737304688,1342.803955078125,24.840030670166016,22.267040252685547,22.564697265625,298.15216064453125,1322.243896484375,20.059560775756836,33.298728942871094,19.98447036743164,25.8056583404541,24.100502014160156,24.77569007873535,110.16999816894531,24.790300369262695,25.204137802124023,50.361446380615234,74.10539245605469,12.699628829956055,45.16494369506836,72.29399108886719,60.69612121582031,36.12714385986328,481.92510986328125,46.00265884399414,224.50672912597656,51.02592849731445,25.4669189453125,20.185489654541016,120.89717864990234,25.988283157348633,25.717605590820312,25.309755325317383,24.959835052490234,25.47395133972168,25.621137619018555,21.05026626586914,20.830102920532227,21.569225311279297,25.162511825561523,24.3198184967041,274.5841064453125,53.535404205322266,150.44039916992188,51.7238655090332,48.319278717041016,197.24838256835938,148.20652770996094,92.49178314208984,15.78876781463623,37.88371276855469,108.33353424072266,10.76452350616455,68.42367553710938,14.676253318786621,25.038400650024414,238.1131134033203,23.02208137512207,67.99141693115234,24.869468688964844,35.39252853393555,205.04098510742188,98.40796661376953,47.061119079589844,52.122825622558594,23.345802307128906,6.742124080657959,24.200960159301758,71.09075927734375,130.55404663085938,47.8332633972168,17.929101943969727,118.47203826904297,24.95929527282715,11.56600570678711,24.007038116455078,48.09309005737305,107.88851165771484,258.1540832519531,13.001435279846191,50.1613883972168,8.98749828338623,83.84131622314453,6.8630242347717285,46.92228698730469
2020-01-07,338901,225.9199981689453,128.72756958007812,186.39071655273438,25.492544174194336,24.75262451171875,1348.3446044921875,24.68552017211914,22.089487075805664,22.57657814025879,297.142578125,1327.6771240234375,20.021530151367188,33.078975677490234,19.879148483276367,25.574697494506836,23.85805892944336,24.605682373046875,109.66999816894531,24.59319496154785,25.12515640258789,49.94413375854492,73.46182250976562,12.871612548828125,45.076412200927734,72.09417724609375,60.47689437866211,35.855934143066406,485.00408935546875,46.274749755859375,225.98455810546875,50.791534423828125,25.791837692260742,20.0930233001709,120.26375579833984,25.89826202392578,25.717605590820312,25.176074981689453,24.859336853027344,25.27975845336914,25.579486846923828,20.928356170654297,20.8117733001709,21.58776092529297,25.090255737304688,24.213851928710938,276.4930725097656,53.02518844604492,147.4327392578125,51.501121520996094,47.74837112426758,196.86424255371094,147.0377655029297,92.22808074951172,15.732680320739746,37.6491813659668,108.00439453125,10.985246658325195,67.90107727050781,14.53666877746582,24.984516143798828,237.25662231445312,22.938365936279297,67.65813446044922,24.833248138427734,35.51441192626953,203.3009033203125,97.43441009521484,47.37516784667969,52.122825622558594,23.444978713989258,6.705532073974609,24.15196990966797,70.71375274658203,128.64100646972656,48.314048767089844,18.060354232788086,118.94396209716797,25.031354904174805,11.584982872009277,23.870838165283203,47.821754455566406,106.96369934082031,258.5086975097656,13.251279830932617,49.686641693115234,9.006439208984375,83.75164794921875,6.697105407714844,46.665069580078125
2020-01-08,339188,225.99000549316406,129.7317657470703,189.5813446044922,25.573331832885742,24.79762840270996,1351.9925537109375,24.821855545043945,22.21695899963379,22.512102127075195,302.3855285644531,1333.5341796875,20.489341735839844,33.41339111328125,19.876535415649414,25.59246253967285,23.867040634155273,24.65937042236328,111.81999969482422,24.682785034179688,25.195362091064453,50.09588623046875,74.02145385742188,12.772042274475098,45.651817321777344,72.5301513671875,61.124610900878906,35.77176284790039,484.8893737792969,46.55656051635742,228.16294860839844,51.08903884887695,25.774272918701172,20.13001251220703,122.33944702148438,25.835248947143555,25.896141052246094,25.24736976623535,24.93242835998535,25.20914649963379,25.63232421875,21.0972843170166,20.830102920532227,21.495071411132812,25.12638282775879,24.39046287536621,280.458740234375,52.91387176513672,146.42697143554688,51.61249542236328,48.051116943359375,197.93023681640625,148.5618133544922,91.41743469238281,15.7794189453125,37.694786071777344,107.6849365234375,11.129566192626953,68.3023681640625,14.666282653808594,24.82286262512207,241.8048553466797,23.05821990966797,68.05282592773438,24.806396484375,35.97380828857422,204.1365509033203,98.46637725830078,47.87395477294922,52.906070709228516,23.426929473876953,6.778717041015625,24.2633113861084,70.96223449707031,130.0210723876953,48.370609283447266,18.244108200073242,120.07658386230469,25.12142562866211,11.708328247070312,23.843599319458008,48.383148193359375,107.2592544555664,262.59698486328125,13.376200675964355,49.83856964111328,9.02538013458252,84.28970336914062,6.599061489105225,47.56533432006836
2020-01-09,343263,228.64999389648438,130.20545959472656,190.8951416015625,25.555376052856445,24.78862762451172,1354.9638671875,24.840030670166016,22.280698776245117,22.562759399414062,306.3499755859375,1334.43505859375,20.538856506347656,33.47071838378906,20.00042152404785,25.654647827148438,23.893978118896484,24.543054580688477,112.56999969482422,24.745500564575195,25.18659019470215,50.010528564453125,74.69302368164062,13.025492668151855,46.08559036254883,72.52106475830078,62.30046844482422,36.00556564331055,490.6264953613281,46.75090789794922,232.80758666992188,50.98704147338867,25.696029663085938,20.202133178710938,124.55156707763672,25.88926124572754,25.95862579345703,25.256282806396484,24.850202560424805,25.270933151245117,25.63232421875,21.06903648376465,20.85759925842285,21.495071411132812,25.198638916015625,24.24034309387207,284.9557800292969,52.93242645263672,147.4614715576172,52.14151382446289,47.86082458496094,200.206298828125,150.3570098876953,92.22808074951172,15.695290565490723,37.942344665527344,108.44969177246094,11.155034065246582,69.00226593017578,15.09500503540039,24.63426399230957,244.9846954345703,23.06744384765625,68.01774597167969,24.869468688964844,36.21757125854492,205.56201171875,99.80016326904297,48.37273406982422,53.94106674194336,23.399858474731445,6.760420799255371,24.218774795532227,70.71375274658203,130.9823455810547,48.5308723449707,18.392858505249023,121.07707214355469,25.076387405395508,11.62293529510498,23.825441360473633,48.916473388671875,108.47962188720703,263.84808349609375,13.405028343200684,49.84805679321289,9.006439208984375,84.92644500732422,6.455767631530762,48.08966064453125
2020-01-10,340185,226.6199951171875,128.90757751464844,191.4088134765625,25.537425994873047,24.806631088256836,1363.57958984375,24.89456558227539,22.298908233642578,22.585420608520508,308.4015197753906,1331.7318115234375,20.610795974731445,33.193634033203125,19.935123443603516,25.654647827148438,23.96581268310547,24.65937042236328,112.93000030517578,24.72758674621582,25.195362091064453,49.792388916015625,73.91886901855469,13.061699867248535,46.21836853027344,72.5301513671875,61.682647705078125,35.66889190673828,489.7467956542969,46.44966125488281,232.3373565673828,50.88687515258789,26.03772735595703,20.176246643066406,124.03507995605469,25.92526626586914,25.85150718688965,25.42560577392578,24.850202560424805,25.28858757019043,25.624835968017578,20.862661361694336,20.85759925842285,21.504337310791016,25.40094757080078,24.372800827026367,284.3259582519531,52.57063293457031,144.62623596191406,51.93733215332031,47.70512390136719,196.9602813720703,148.26263427734375,92.05228424072266,15.742029190063477,38.02052688598633,108.13023376464844,11.019204139709473,68.77828979492188,14.995302200317383,24.72407341003418,244.17745971679688,23.11353874206543,68.07913970947266,24.83252716064453,36.105064392089844,204.5395965576172,98.86553955078125,48.4650993347168,53.81985092163086,23.363759994506836,6.696384429931641,24.2633113861084,70.71375274658203,128.97410583496094,47.64472198486328,18.497861862182617,120.30310821533203,25.125932693481445,11.404708862304688,23.834518432617188,48.68255615234375,108.16500091552734,261.76953125,13.203231811523438,49.43977737426758,8.911735534667969,84.66637420654297,6.372808456420898,48.0006217956543
2020-01-13,342855,228.4499969482422,129.9780731201172,192.94979858398438,25.609233856201172,24.87863540649414,1369.180908203125,24.876388549804688,22.362646102905273,22.692913055419922,312.4055480957031,1342.544189453125,20.508024215698242,33.4993896484375,19.95284652709961,25.725709915161133,24.010711669921875,24.686216354370117,115.27999877929688,24.861970901489258,25.309446334838867,49.42250061035156,75.22468566894531,13.278942108154297,46.72295379638672,72.87533569335938,62.629310607910156,36.024269104003906,500.1981506347656,46.6634521484375,235.31224060058594,51.02346420288086,26.03772735595703,20.25243377685547,125.2629623413086,25.88926124572754,26.05681800842285,25.42560577392578,24.905019760131836,25.332717895507812,25.7027645111084,20.8532772064209,21.004220962524414,21.495071411132812,25.49668312072754,24.328649520874023,289.54132080078125,52.60773849487305,144.54002380371094,52.17864227294922,47.869468688964844,196.0479278564453,149.07608032226562,92.81409454345703,15.891597747802734,38.88047790527344,108.42064666748047,11.112588882446289,69.91682434082031,15.03518295288086,24.69713020324707,247.5836944580078,22.993684768676758,68.6229248046875,24.869468688964844,35.96443557739258,205.5325469970703,99.21602630615234,48.566707611083984,54.481876373291016,23.40888214111328,6.760420799255371,24.165332794189453,70.97936248779297,129.6879119873047,47.96524429321289,18.44536018371582,123.67265319824219,25.040359497070312,11.376243591308594,23.879919052124023,49.234596252441406,109.14701843261719,267.9462890625,13.376200675964355,49.84805679321289,8.921205520629883,85.25825500488281,6.387892723083496,48.51505661010742
2020-01-14,340706,227.1699981689453,131.49388122558594,193.66102600097656,25.66309356689453,24.8696346282959,1370.5067138671875,24.903654098510742,22.426380157470703,22.723955154418945,307.876220703125,1348.6624755859375,20.62808609008789,33.7478141784668,20.037736892700195,25.672412872314453,23.983766555786133,24.641475677490234,114.63999938964844,24.9246883392334,25.362102508544922,46.75742721557617,76.39993286132812,13.007389068603516,46.79378128051758,73.08424377441406,62.58945083618164,35.893341064453125,495.6178894042969,46.362213134765625,235.74404907226562,50.78670120239258,26.168838500976562,20.40740966796875,125.51634216308594,25.862253189086914,25.88721466064453,25.47016716003418,24.97810935974121,25.306241989135742,25.693960189819336,20.825124740600586,21.040878295898438,21.550682067871094,25.487653732299805,24.266834259033203,285.5363464355469,52.49641799926758,144.4059295654297,52.30857849121094,47.72241973876953,195.4909210205078,149.48745727539062,91.58346557617188,15.83551025390625,39.15410614013672,107.94630432128906,11.155034065246582,69.29156494140625,14.995302200317383,24.69713020324707,245.55567932128906,23.002904891967773,68.94744873046875,24.923534393310547,35.50503158569336,204.1365509033203,99.84884643554688,48.20647430419922,54.18349075317383,23.354736328125,6.641496181488037,24.049535751342773,70.5852279663086,130.0591278076172,48.08779525756836,18.410358428955078,122.44563293457031,24.707088470458984,11.347780227661133,23.879919052124023,48.972618103027344,108.49870300292969,262.7054138183594,13.472293853759766,49.56321334838867,8.86438274383545,85.1327133178711,6.380350112915039,48.51505661010742
