Date,^GSPC,^DJI,^IXIC,^RUT,^VIX,399001.SZ
2019-12-31,3230.780029296875,28538.439453125,8972.599609375,1668.469970703125,13.779999732971191,10430.76953125
2020-01-02,3257.85009765625,28868.80078125,9092.1904296875,1666.77001953125,12.470000267028809,10638.8203125
2020-01-03,3234.85009765625,28634.880859375,9020.76953125,1660.8699951171875,14.020000457763672,10656.41015625
2020-01-06,3246.280029296875,28703.380859375,9071.4697265625,1663.260009765625,13.850000381469727,10698.26953125
2020-01-07,3237.179931640625,28583.6796875,9068.580078125,1658.31005859375,13.789999961853027,10829.0498046875
2020-01-08,3253.050048828125,28745.08984375,9129.240234375,1663.5899658203125,13.449999809265137,10706.8701171875
2020-01-09,3274.699951171875,28956.900390625,9203.4296875,1664.989990234375,12.539999961853027,10898.169921875
2020-01-10,3265.35009765625,28823.76953125,9178.8603515625,1657.6400146484375,12.5600004196167,10879.83984375
2020-01-13,3288.1298828125,28907.05078125,9273.9296875,1669.6099853515625,12.319999694824219,11040.2001953125
2020-01-14,3283.14990234375,28939.669921875,9251.330078125,1675.739990234375,12.390000343322754,10988.76953125
2020-01-15,3289.2900390625,29030.220703125,9258.7001953125,1682.4000244140625,12.420000076293945,10972.3203125
2020-01-16,3316.81005859375,29297.640625,9357.1298828125,1705.219970703125,12.319999694824219,10967.4404296875
2020-01-17,3329.6201171875,29348.099609375,9388.9404296875,1699.6400146484375,12.100000381469727,10954.3896484375
2020-01-21,3320.7900390625,29196.0390625,9370.8095703125,1685.9000244140625,12.850000381469727,10953.41015625
2020-01-22,3321.75,29186.26953125,9383.76953125,1684.4599609375,12.90999984741211,11072.0595703125
2020-01-23,3325.5400390625,29160.08984375,9402.48046875,1685.010009765625,12.979999542236328,10681.900390625
2020-01-24,3295.469970703125,28989.73046875,9314.91015625,1662.22998046875,14.5600004196167,
2020-01-27,3243.6298828125,28535.80078125,9139.3095703125,1644.1400146484375,18.229999542236328,
2020-01-28,3276.239990234375,28722.849609375,9269.6796875,1658.31005859375,16.280000686645508,
2020-01-29,3273.39990234375,28734.44921875,9275.16015625,1649.219970703125,16.389999389648438,
2020-01-30,3283.659912109375,28859.439453125,9298.9296875,1648.219970703125,15.489999771118164,
2020-01-31,3225.52001953125,28256.029296875,9150.9404296875,1614.06005859375,18.84000015258789,
2020-02-03,3248.919921875,28399.810546875,9273.400390625,1632.2099609375,17.969999313354492,9779.669921875
2020-02-04,3297.590087890625,28807.630859375,9467.9697265625,1656.77001953125,16.049999237060547,10089.669921875
2020-02-05,3334.68994140625,29290.849609375,9508.6796875,1681.9200439453125,15.149999618530273,10305.5
2020-02-06,3345.780029296875,29379.76953125,9572.150390625,1677.4599609375,14.960000038146973,10601.33984375
2020-02-07,3327.7099609375,29102.509765625,9520.509765625,1656.780029296875,15.470000267028809,10611.5498046875
2020-02-10,3352.090087890625,29276.8203125,9628.3896484375,1667.6700439453125,15.039999961853027,10728.4599609375
2020-02-11,3357.75,29276.33984375,9638.9404296875,1677.510009765625,15.180000305175781,10768.6298828125
2020-02-12,3379.449951171875,29551.419921875,9725.9599609375,1689.3800048828125,13.739999771118164,10940.7998046875
2020-02-13,3373.93994140625,29423.310546875,9711.9697265625,1693.739990234375,14.149999618530273,10864.3203125
2020-02-14,3380.159912109375,29398.080078125,9731.1796875,1687.5799560546875,13.680000305175781,10916.3095703125
2020-02-18,3370.2900390625,29232.189453125,9732.740234375,1683.52001953125,14.829999923706055,11306.490234375
2020-02-19,3386.14990234375,29348.029296875,9817.1796875,1692.5699462890625,14.380000114440918,11235.599609375
2020-02-20,3373.22998046875,29219.98046875,9750.9697265625,1696.0699462890625,15.5600004196167,11509.08984375
2020-02-21,3337.75,28992.41015625,9576.58984375,1678.6099853515625,17.079999923706055,11629.7001953125
2020-02-24,3225.889892578125,27960.80078125,9221.2802734375,1628.0999755859375,25.030000686645508,11772.3798828125
2020-02-25,3128.2099609375,27081.359375,8965.6103515625,1571.9000244140625,27.850000381469727,11856.080078125
2020-02-26,3116.389892578125,26957.58984375,8980.7802734375,1552.760009765625,27.559999465942383,11497.5498046875
2020-02-27,2978.760009765625,25766.640625,8566.48046875,1497.8699951171875,39.15999984741211,11534.01953125
2020-02-28,2954.219970703125,25409.359375,8567.3701171875,1476.4300537109375,40.11000061035156,10980.76953125
2020-03-02,3090.22998046875,26703.3203125,8952.169921875,1518.489990234375,33.41999816894531,11381.759765625
2020-03-03,3003.3701171875,25917.41015625,8684.08984375,1486.0799560546875,36.81999969482422,11484.2099609375
2020-03-04,3130.1201171875,27090.859375,9018.08984375,1531.199951171875,31.989999771118164,11493.01953125
2020-03-05,3023.93994140625,26121.279296875,8738.58984375,1478.8199462890625,39.619998931884766,11711.3701171875
2020-03-06,2972.3701171875,25864.779296875,8575.6201171875,1449.219970703125,41.939998626708984,11582.8203125
2020-03-09,2746.56005859375,23851.01953125,7950.68017578125,1313.43994140625,54.459999084472656,11108.5498046875
2020-03-10,2882.22998046875,25018.16015625,8344.25,1350.9000244140625,47.29999923706055,11403.4697265625
2020-03-11,2741.3798828125,23553.220703125,7952.0498046875,1264.300048828125,53.900001525878906,11200.0498046875
2020-03-12,2480.639892578125,21200.619140625,7201.7998046875,1122.9300537109375,75.47000122070312,10941.009765625
2020-03-13,2711.02001953125,23185.619140625,7874.8798828125,1210.1300048828125,57.83000183105469,10831.1298828125
2020-03-16,2386.1298828125,20188.51953125,6904.58984375,1037.4200439453125,82.69000244140625,10253.2802734375
