Date,AMZN,TSLA,BABA,HD,PDD,NKE,TM,MCD,JD,LOW,SBUX,MELI,NIO,BKNG,TJX,GM,STLA,CVNA,HMC,PTON,F,LULU,CHWY,CMG,ROST,LVS,RACE,EBAY,MAR,APTV,VFC,ORLY,YUM,W,BBY,BLL,HTHT,HLT,DHI,AZO,LEN,ETSY,LEN-B,YUMC,MGA,CCL,FTCH,IP,DKNG,VIPS,KMX,TCOM,EXPE,ROL,TSCO,QSR,AMCR,NVR,BURL,ULTA,CZR,RCL,PENN,DRI,DPZ,POOL,MGM,GPC,CUK,PKG,HAS,PHM,FBHS,WHR,CCK,TTM,WYNN,WRK,LKQ,IHG,MTN,AAP,BWA,MHK,FIVE,FND,WSM,RH,SFIX,LEA,TPR,BFAM,SCI,ARMK,ATR,LAD,DECK,GNTX,LEVI
2019-12-31,1847.8399658203125,83.66600036621094,212.10000610351562,208.98077392578125,37.81999969482422,99.60466766357422,133.8850860595703,188.4842987060547,35.22999954223633,116.01353454589844,85.4382095336914,571.9400024414062,4.019999980926514,2053.72998046875,59.94346618652344,36.15889358520508,12.49897575378418,92.05000305175781,26.99881935119629,28.399999618530273,9.098668098449707,231.6699981689453,29.0,837.1099853515625,115.51658630371094,67.68962860107422,163.60716247558594,35.37841796875,150.82522583007812,94.72907257080078,94.60112762451172,438.260009765625,97.19905090332031,90.37000274658203,83.35008239746094,63.68152618408203,39.731014251708984,110.74006652832031,51.66776657104492,1191.31005859375,54.67158126831055,44.29999923706055,43.57666015625,47.398353576660156,52.045936584472656,50.243595123291016,10.350000381469727,39.7009162902832,10.699999809265137,14.170000076293945,87.66999816894531,33.540000915527344,107.73970031738281,21.730009078979492,91.74539947509766,59.272159576416016,9.973861694335938,3808.409912109375,228.02999877929688,253.13999938964844,59.63999938964844,132.19776916503906,25.559999465942383,105.33667755126953,288.915283203125,209.75669860839844,33.00697326660156,99.96888732910156,47.5699462890625,105.40666198730469,100.02597045898438,37.89110565185547,63.819122314453125,139.18605041503906,71.98100280761719,12.770000457763672,137.71438598632812,40.853214263916016,35.70000076293945,67.11236572265625,235.64727783203125,156.2097625732422,41.92312240600586,136.3800048828125,127.86000061035156,50.810001373291016,70.45431518554688,213.5,25.65999984741211,134.6890106201172,26.26168441772461,150.2899932861328,44.536354064941406,42.23348617553711,112.9473648071289,145.26382446289062,168.86000061035156,28.1644229888916,18.899560928344727
2020-01-02,1898.010009765625,86.052001953125,219.77000427246094,210.20565795898438,41.22999954223633,100.47966766357422,135.5045928955078,191.51744079589844,37.72999954223633,116.69164276123047,86.82785034179688,610.1900024414062,3.7200000286102295,2074.580078125,60.5717658996582,36.92949676513672,12.830806732177734,96.94999694824219,27.313535690307617,29.739999771118164,9.216070175170898,233.4199981689453,29.6200008392334,858.1900024414062,115.92340850830078,69.41519927978516,166.54249572753906,35.56456756591797,150.88499450683594,96.06566619873047,95.14219665527344,437.5199890136719,98.58856201171875,93.13999938964844,82.88491821289062,62.90361022949219,41.14891815185547,111.27923583984375,51.49146270751953,1189.739990234375,54.69118118286133,45.189998626708984,43.49866485595703,48.50408935546875,52.68179702758789,50.718055725097656,11.109999656677246,39.24399185180664,10.680000305175781,14.800000190734863,89.51000213623047,36.970001220703125,110.5691909790039,21.847965240478516,91.42137145996094,60.13656234741211,9.780640602111816,3735.5,229.17999267578125,254.5500030517578,59.5099983215332,133.32656860351562,26.139999389648438,108.47716522216797,288.54156494140625,211.16903686523438,33.39389419555664,99.5736312866211,47.955169677734375,104.21131896972656,99.76075744628906,37.7739143371582,64.2781753540039,140.05401611328125,71.6535415649414,13.520000457763672,142.405029296875,41.36733627319336,35.79999923706055,67.44465637207031,239.23361206054688,155.478271484375,42.47398376464844,134.7899932861328,127.6500015258789,50.54999923706055,69.68684387207031,211.5,25.059999465942383,137.526123046875,26.222736358642578,153.86000061035156,44.70083999633789,42.359989166259766,111.05220031738281,145.62945556640625,172.1699981689453,28.630916595458984,18.733001708984375
2020-01-03,1874.969970703125,88.60199737548828,217.0,209.50706481933594,40.88999938964844,100.20439910888672,134.0851287841797,190.84022521972656,37.9900016784668,115.8585433959961,86.32252502441406,607.7999877929688,3.8299999237060547,2065.47998046875,60.120174407958984,35.88227081298828,12.328805923461914,92.75,26.827159881591797,30.600000381469727,9.010616302490234,232.63999938964844,29.34000015258789,865.1300048828125,115.95317077636719,68.3563232421875,164.78326416015625,35.2314567565918,148.67385864257812,93.86127471923828,94.54418182373047,438.75,98.27977752685547,94.04000091552734,82.7614974975586,63.779998779296875,40.42509460449219,109.82147216796875,51.87345886230469,1187.97998046875,55.33795166015625,44.900001525878906,43.995853424072266,47.803131103515625,51.39109420776367,49.31443405151367,11.300000190734863,38.554290771484375,10.680000305175781,14.90999984741211,87.26000213623047,36.18000030517578,108.72602844238281,21.775880813598633,90.29222106933594,59.8948974609375,9.651826858520508,3781.429931640625,228.72999572753906,250.1699981689453,58.0099983215332,132.177978515625,25.93000030517578,108.59310913085938,289.7905578613281,212.3838348388672,33.02682876586914,98.16204071044922,46.70072937011719,102.79949951171875,99.4955825805664,38.10594940185547,63.86796569824219,137.66709899902344,71.69322204589844,13.180000305175781,140.29275512695312,40.634239196777344,35.38999938964844,66.19369506835938,239.51856994628906,155.48802185058594,40.937374114990234,130.9499969482422,127.66999816894531,50.220001220703125,69.17838287353516,209.39999389648438,25.1299991607666,134.3258056640625,26.21299934387207,155.39999389648438,44.76856994628906,42.10697937011719,111.40388488769531,144.39422607421875,173.4600067138672,28.27132797241211,18.80158233642578
2020-01-06,1902.8800048828125,90.30799865722656,216.63999938964844,210.49276733398438,40.09000015258789,100.11591339111328,134.1042022705078,192.98631286621094,38.0,116.58506774902344,85.64228820800781,606.5499877929688,3.680000066757202,2047.4000244140625,60.50304412841797,35.408058166503906,12.294772148132324,92.33999633789062,26.75086212158203,29.75,8.961698532104492,235.42999267578125,29.3700008392334,858.02001953125,116.51874542236328,68.71908569335938,163.91355895996094,35.05510330200195,146.75157165527344,92.11571502685547,94.17398071289062,434.6600036621094,98.22188568115234,94.66999816894531,83.45450592041016,63.189170837402344,40.07805252075195,109.2523422241211,52.3142204284668,1165.7099609375,56.88627243041992,44.834999084472656,45.28268051147461,47.26013946533203,51.0494384765625,47.82185745239258,10.920000076293945,37.890445709228516,10.800000190734863,14.739999771118164,87.05000305175781,35.689998626708984,108.33747863769531,21.775880813598633,89.98784637451172,58.65870666503906,9.587420463562012,3783.27001953125,231.86000061035156,250.9499969482422,58.79999923706055,130.3362579345703,26.209999084472656,109.30818176269531,289.08251953125,212.42335510253906,32.62998580932617,96.08229064941406,45.37714385986328,99.74055480957031,99.78917694091797,38.38915252685547,64.3563232421875,138.95960998535156,71.14746856689453,13.029999732971191,140.0150909423828,40.0153923034668,34.86000061035156,65.70503234863281,241.0415496826172,152.93263244628906,40.763427734375,131.0,123.80000305175781,51.11000061035156,69.4374008178711,212.77000427246094,24.760000228881836,133.5895233154297,26.544069290161133,157.02000427246094,45.116886138916016,42.89521026611328,111.41365814208984,140.00662231445312,174.5,29.02937889099121,18.68401336669922
2020-01-07,1906.8599853515625,93.81199645996094,217.6300048828125,209.11476135253906,41.209999084472656,100.06675720214844,134.8091278076172,193.27249145507812,38.31999969482422,115.8875961303711,85.37991333007812,625.0,3.240000009536743,2068.050048828125,60.463775634765625,34.726375579833984,12.073551177978516,90.91000366210938,26.90345001220703,30.399999618530273,9.049750328063965,233.6999969482422,29.200000762939453,860.0800170898438,117.87812042236328,68.7877197265625,163.29090881347656,34.898345947265625,144.3611602783203,90.95866394042969,93.70885467529297,428.7699890136719,98.39557647705078,95.69999694824219,83.92916870117188,62.942989349365234,40.058223724365234,108.12407684326172,52.118324279785156,1145.3800048828125,55.99451446533203,45.779998779296875,44.512535095214844,47.31937789916992,51.523956298828125,47.970123291015625,11.180000305175781,37.48524856567383,10.899999618530273,14.970000267028809,87.2300033569336,37.33000183105469,109.61273956298828,21.788990020751953,88.37760162353516,58.9189567565918,9.50461196899414,3806.1201171875,234.0399932861328,253.08999633789062,59.33000183105469,129.157958984375,26.459999084472656,108.3708724975586,287.0172424316406,210.38880920410156,32.64982223510742,95.71528625488281,45.426536560058594,98.68638610839844,97.92333221435547,38.64306640625,64.03399658203125,139.0067901611328,69.98648834228516,12.819999694824219,140.67950439453125,39.56792449951172,34.66999816894531,64.99159240722656,240.25547790527344,151.1185302734375,41.01469039916992,128.00999450683594,121.61000061035156,49.529998779296875,70.76130676269531,215.8699951171875,23.600000381469727,133.81529235839844,26.7972412109375,157.14999389648438,45.02981185913086,42.39891052246094,110.29999542236328,141.0442657470703,173.14999389648438,28.712305068969727,18.860368728637695
2020-01-08,1891.969970703125,98.4280014038086,218.0,212.2439727783203,40.5,99.84062957763672,134.47572326660156,196.4010009765625,38.29999923706055,117.72816467285156,86.37110900878906,633.4400024414062,3.390000104904175,2062.89990234375,60.78773498535156,34.232398986816406,12.124602317810059,89.12999725341797,26.827159881591797,29.649999618530273,9.049750328063965,237.27000427246094,28.6200008392334,856.72998046875,118.22540283203125,69.41519927978516,166.5721435546875,34.87874984741211,146.1439971923828,92.85383605957031,92.11412048339844,431.8999938964844,98.56926727294922,95.16999816894531,84.15699768066406,63.484588623046875,39.849998474121094,109.04267120361328,52.40237808227539,1147.489990234375,56.43549346923828,45.005001068115234,44.88298034667969,47.921607971191406,51.32466506958008,48.197471618652344,10.930000305175781,37.9249382019043,11.260000228881836,15.130000114440918,87.08000183105469,36.869998931884766,108.21792602539062,21.769329071044922,90.04676055908203,58.00808334350586,9.541415214538574,3785.81005859375,233.1300048828125,258.0,59.529998779296875,130.9204559326172,26.850000381469727,110.01358032226562,285.74859619140625,211.45545959472656,32.97721862792969,95.4423828125,45.683349609375,99.50525665283203,99.40086364746094,38.99463653564453,65.23536682128906,140.95028686523438,69.76818084716797,12.859999656677246,141.56210327148438,39.739295959472656,34.59000015258789,65.12841796875,244.4019012451172,149.3824462890625,41.26595687866211,127.61000061035156,122.9000015258789,50.349998474121094,71.23138427734375,211.32000732421875,23.625,135.1209716796875,26.972515106201172,158.5,45.116886138916016,43.08009719848633,110.60284423828125,137.76345825195312,168.8300018310547,29.131816864013672,18.733001708984375
2020-01-09,1901.050048828125,96.26799774169922,221.77999877929688,215.49765014648438,39.65999984741211,99.77180480957031,133.8564910888672,198.72830200195312,38.900001525878906,118.23190307617188,87.97454071044922,646.4299926757812,3.4600000381469727,2084.2900390625,61.494571685791016,34.65721893310547,12.124602317810059,86.56999969482422,26.731792449951172,27.8700008392334,9.059534072875977,235.89999389648438,29.43000030517578,862.6699829101562,121.18226623535156,70.1211166381836,167.9261474609375,34.467262268066406,145.86512756347656,91.4972915649414,90.91808319091797,437.3699951171875,99.35087585449219,96.75,84.84049987792969,65.70018768310547,39.86000061035156,108.9228515625,52.177093505859375,1145.3900146484375,56.53348922729492,46.43000030517578,44.89273452758789,47.882110595703125,51.2392463684082,48.63239669799805,10.869999885559082,38.02838897705078,12.25,14.979999542236328,87.5999984741211,37.119998931884766,109.35370635986328,22.11664390563965,89.1630859375,58.38916015625,9.56901741027832,3741.699951171875,233.0,263.5,59.290000915527344,132.60374450683594,26.860000610351562,111.39641571044922,284.1160583496094,211.86038208007812,33.17563247680664,94.86833190917969,46.06856918334961,98.85580444335938,98.40636444091797,38.877445220947266,65.07909393310547,141.8560028076172,70.49256134033203,13.329999923706055,140.9670867919922,40.52950668334961,34.650001525878906,64.6299819946289,248.64654541015625,149.0995635986328,40.521820068359375,126.75,124.4800033569336,50.290000915527344,72.04681396484375,218.4600067138672,23.979999542236328,136.0143280029297,26.66091537475586,160.74000549316406,45.45553207397461,43.52773666381836,112.00955963134766,137.2594757080078,169.2899932861328,29.16108512878418,18.331298828125
2020-01-10,1883.1600341796875,95.62999725341797,223.8300018310547,214.56939697265625,38.41999816894531,99.20156860351562,133.11343383789062,197.69821166992188,39.11000061035156,117.21472930908203,87.61498260498047,669.47998046875,3.509999990463257,2086.89990234375,61.20005416870117,34.232398986816406,12.039517402648926,87.61000061035156,26.43614959716797,28.010000228881836,9.049750328063965,234.83999633789062,29.229999542236328,857.77001953125,119.78321075439453,69.5230484008789,169.30979919433594,34.183135986328125,144.80935668945312,89.28292846679688,90.23463439941406,436.8500061035156,98.12540435791016,95.22000122070312,86.05564880371094,65.25707244873047,39.650001525878906,108.43360137939453,52.666839599609375,1132.219970703125,58.52280044555664,46.130001068115234,46.316036224365234,48.178287506103516,50.5274543762207,48.286434173583984,11.149999618530273,37.9249382019043,12.390000343322754,14.899999618530273,89.08999633789062,36.70000076293945,110.28026580810547,22.75884437561035,89.61473846435547,58.07313919067383,9.61502456665039,3781.31005859375,231.3300018310547,267.2799987792969,58.45000076293945,131.88092041015625,26.329999923706055,111.55223846435547,284.3029479980469,214.35911560058594,32.947452545166016,93.07090759277344,45.78212356567383,99.46759796142578,96.30375671386719,39.05323028564453,65.40141296386719,141.21444702148438,70.54216766357422,13.609999656677246,141.81993103027344,40.139163970947266,34.09000015258789,64.16087341308594,247.01548767089844,145.33477783203125,40.028953552246094,127.0,121.2300033569336,47.59000015258789,71.34650421142578,207.6300048828125,23.18000030517578,133.9134979248047,26.709604263305664,162.32000732421875,45.871578216552734,43.69316864013672,113.11343383789062,137.5855712890625,165.02999877929688,29.33669662475586,18.272512435913086
2020-01-13,1891.300048828125,104.97200012207031,230.47999572753906,213.72727966308594,39.349998474121094,100.44036865234375,133.9041290283203,196.97329711914062,40.310001373291016,117.26317596435547,88.50901794433594,691.0999755859375,3.700000047683716,2080.5,61.376766204833984,34.55842208862305,12.116093635559082,92.87000274658203,26.7413272857666,28.530000686645508,9.039966583251953,245.17999267578125,30.520000457763672,863.0,119.03903198242188,70.74860382080078,172.25498962402344,34.026371002197266,146.21372985839844,88.64454650878906,91.06047058105469,435.5,96.82271575927734,101.0,86.63472747802734,66.46826934814453,38.9900016784668,109.12254333496094,52.4709358215332,1128.3699951171875,59.336158752441406,47.959999084472656,47.173919677734375,47.51683044433594,50.356624603271484,48.790550231933594,11.170000076293945,38.312889099121094,12.0,15.260000228881836,91.02999877929688,37.650001525878906,110.18062591552734,22.92266845703125,88.7507095336914,58.37986755371094,9.835845947265625,3809.510009765625,231.32000732421875,275.70001220703125,59.34000015258789,131.8017120361328,26.530000686645508,110.28626251220703,279.2972412109375,213.93446350097656,33.10618591308594,93.82376098632812,46.177223205566406,101.03001403808594,99.31562042236328,39.4829216003418,66.51487731933594,144.1391143798828,71.96115112304688,13.720000267028809,145.98500061035156,40.491424560546875,34.130001068115234,64.3661117553711,250.3365478515625,141.67726135253906,39.990291595458984,129.9199981689453,107.45999908447266,47.060001373291016,72.44974517822266,215.50999450683594,24.649999618530273,133.7367706298828,27.362009048461914,163.5500030517578,46.152164459228516,43.916988372802734,113.51395416259766,141.68658447265625,167.7899932861328,29.434255599975586,18.46846580505371
2020-01-14,1869.43994140625,107.58399963378906,226.49000549316406,213.2200927734375,38.02000045776367,101.18756866455078,133.72312927246094,197.7458953857422,40.290000915527344,116.31382751464844,88.42156219482422,652.0700073242188,3.759999990463257,2071.47998046875,61.57311248779297,34.726375579833984,11.96294116973877,86.0199966430664,26.588733673095703,29.690000534057617,9.088884353637695,243.77000427246094,31.1299991607666,859.219970703125,118.03687286376953,71.92512512207031,169.5469970703125,34.633811950683594,146.56231689453125,88.78419494628906,91.6300048828125,438.510009765625,97.18939971923828,103.58999633789062,85.884765625,65.53279876708984,38.20000076293945,108.9228515625,53.17616653442383,1136.5999755859375,60.394500732421875,49.150001525878906,47.90507507324219,47.84261703491211,50.74573516845703,49.63074493408203,11.529999732971191,38.295658111572266,11.9399995803833,14.850000381469727,91.94000244140625,38.5,110.00129699707031,22.968544006347656,88.54450988769531,58.34268569946289,9.771440505981445,3819.0400390625,229.7899932861328,282.6199951171875,58.970001220703125,131.64328002929688,26.979999542236328,109.27346801757812,280.398681640625,212.95668029785156,33.02682876586914,94.10607147216797,46.96742248535156,100.38056945800781,99.68499755859375,39.98097229003906,66.43673706054688,144.5636444091797,71.22685241699219,13.75,148.78152465820312,40.51999282836914,34.34000015258789,64.3074722290039,246.76002502441406,145.2274932861328,40.32854080200195,132.5800018310547,114.26000213623047,47.400001525878906,72.91983795166016,223.36000061035156,24.920000076293945,134.34544372558594,27.87808609008789,161.5800018310547,46.07475662231445,44.50086212158203,113.4455795288086,140.0363311767578,168.49000549316406,29.82450294494629,18.605632781982422
