Date,^FVX,^TNX,^TYX
2019-12-31,1.6929999589920044,1.9190000295639038,2.3889999389648438
2020-01-02,1.6710000038146973,1.8819999694824219,2.3410000801086426
2020-01-03,1.5859999656677246,1.7879999876022339,2.249000072479248
2020-01-06,1.6109999418258667,1.8109999895095825,2.2809998989105225
2020-01-07,1.61899995803833,1.8270000219345093,2.305000066757202
2020-01-08,1.6649999618530273,1.8739999532699585,2.3580000400543213
2020-01-09,1.6549999713897705,1.8580000400543213,2.3299999237060547
2020-01-10,1.6360000371932983,1.8250000476837158,2.2839999198913574
2020-01-13,1.6510000228881836,1.8480000495910645,2.306999921798706
2020-01-14,1.6269999742507935,1.8179999589920044,2.2750000953674316
2020-01-15,1.6019999980926514,1.7879999876022339,2.242000102996826
2020-01-16,1.625,1.809000015258789,2.260999917984009
2020-01-17,1.63100004196167,1.8359999656677246,2.2960000038146973
2020-01-21,1.5729999542236328,1.7690000534057617,2.2309999465942383
2020-01-22,1.5729999542236328,1.7690000534057617,2.2179999351501465
2020-01-23,1.5549999475479126,1.7400000095367432,2.181999921798706
2020-01-24,1.5010000467300415,1.680999994277954,2.128000020980835
2020-01-27,1.434999942779541,1.6050000190734863,2.055000066757202
2020-01-28,1.465999960899353,1.6410000324249268,2.0950000286102295
2020-01-29,1.4170000553131104,1.593999981880188,2.052999973297119
2020-01-30,1.3799999952316284,1.5579999685287476,2.0280001163482666
2020-01-31,1.3259999752044678,1.5199999809265137,2.015000104904175
2020-02-03,1.343000054359436,1.5199999809265137,1.996999979019165
2020-02-04,1.4240000247955322,1.6030000448226929,2.0810000896453857
2020-02-05,1.4600000381469727,1.6490000486373901,2.132999897003174
2020-02-06,1.4600000381469727,1.6440000534057617,2.114000082015991
2020-02-07,1.4010000228881836,1.5779999494552612,2.0420000553131104
2020-02-10,1.3669999837875366,1.5470000505447388,2.0199999809265137
2020-02-11,1.4110000133514404,1.590000033378601,2.0510001182556152
2020-02-12,1.4450000524520874,1.6299999952316284,2.0910000801086426
2020-02-13,1.4390000104904175,1.6169999837875366,2.071000099182129
2020-02-14,1.4140000343322754,1.5880000591278076,2.0429999828338623
2020-02-18,1.3930000066757202,1.555999994277954,2.00600004196167
2020-02-19,1.409000039100647,1.5700000524520874,2.0160000324249268
2020-02-20,1.3700000047683716,1.524999976158142,1.972000002861023
2020-02-21,1.3179999589920044,1.4709999561309814,1.9179999828338623
2020-02-24,1.218000054359436,1.3769999742507935,1.8370000123977661
2020-02-25,1.156000018119812,1.3300000429153442,1.8040000200271606
2020-02-26,1.1330000162124634,1.309999942779541,1.7960000038146973
2020-02-27,1.1069999933242798,1.2990000247955322,1.784000039100647
2020-02-28,0.9129999876022339,1.1269999742507935,1.6710000038146973
2020-03-02,0.8650000095367432,1.0880000591278076,1.6460000276565552
2020-03-03,0.7680000066757202,1.0099999904632568,1.6299999952316284
2020-03-04,0.7289999723434448,0.9919999837875366,1.6349999904632568
2020-03-05,0.6729999780654907,0.9259999990463257,1.5709999799728394
