Date,JNJ,UNH,NVS,PFE,TMO,MRK,ABT,LLY,ABBV,DHR,NVO,MDT,AMGN,DHR-PA,BMY,AZN,SNY,GSK,CVS,SYK,ISRG,GILD,CI,ANTM,ZTS,BDX,VRTX,ILMN,REGN,MRNA,TAK,HCA,EW,HUM,BSX,PHG,VEEV,ALGN,BIIB,IDXX,TDOC,WBA,BAX,A,ALC,DXCM,CNC,IQV,BGNE,ZBH,SGEN,RMD,MCK,MTD,GMAB,BNTX,CERN,FMS,WST,INCY,LH,ABC,VTRS,ALNY,TXG,HOLX,SNN,CTLT,PODD,COO,GRFS,TFX,BIO,HZNP,NVCR,WAT,PKI,DGX,STE,BMRN,CAH,ABMD,GH,ARGX,MASI,ELAN,TECH,CRL,MOH,DVA,TEVA,XRAY,CGC,QGEN,RGEN,RDY,ICLR
2019-12-31,138.51844787597656,285.2100830078125,88.03573608398438,34.331790924072266,323.4406433105469,81.1353530883789,84.21021270751953,126.92266845703124,80.05570983886719,152.37530517578125,55.56639862060547,108.48950958251952,231.2286834716797,1107.8245849609377,60.35755920410156,47.17947006225586,46.64241027832031,42.24500274658203,70.22116088867189,205.31407165527344,197.0500030517578,61.10382461547852,200.83177185058602,294.4388427734375,130.87495422363278,264.717041015625,218.9499969482422,331.739990234375,375.4800109863281,19.559999465942386,18.75968360900879,145.7193603515625,77.76333618164062,361.6552734375,45.22000122070313,46.88850402832031,140.66000366210938,279.04000854492193,296.7300109863281,261.1300048828125,83.72000122070312,55.45525360107422,81.53792572021484,84.1682357788086,56.4207763671875,218.7400054931641,62.86999893188477,154.50999450683594,165.75999450683594,147.53915405273438,114.26000213623048,152.58218383789062,135.64114379882812,793.280029296875,22.32999992370605,33.880001068115234,72.17068481445312,35.494239807128906,149.56103515625,87.31999969482422,169.1699981689453,82.27364349365234,19.95817756652832,115.16999816894531,76.25,52.209999084472656,46.11366271972656,56.29999923706055,171.1999969482422,321.1815185546875,22.41098976135254,373.61602783203125,370.0299987792969,36.20000076293945,84.2699966430664,233.6499938964844,96.65040588378906,102.54168701171876,149.8018798828125,84.55000305175781,46.95586776733398,170.58999633789062,78.13999938964844,160.52000427246094,158.05999755859375,29.45000076293945,218.0479736328125,152.75999450683594,135.69000244140622,75.02999877929688,9.800000190734863,55.86753463745117,21.09000015258789,33.799999237060554,92.5,40.13525390625,172.22999572753906
2020-01-02,138.6134033203125,283.7741394042969,88.27745819091797,34.29673385620117,324.9339904785156,82.10772705078125,84.2974624633789,127.67594146728516,80.96891021728516,153.99356079101562,56.0272102355957,109.55097198486328,230.29827880859366,1113.8472900390623,59.97878646850586,47.68097305297852,47.0883903503418,42.18206787109375,70.09828948974611,205.81283569335938,199.086669921875,61.33892440795898,201.27371215820312,293.3080139160156,132.64501953125,265.27188110351557,219.4499969482422,327.0,373.3500061035156,19.229999542236328,18.940338134765625,145.40391540527344,77.5,358.41876220703125,45.33000183105469,47.52265167236328,143.39999389648438,283.67999267578125,294.239990234375,265.01998901367193,83.26000213623047,55.5681266784668,83.7319107055664,84.79967498779297,56.2213020324707,219.3800048828125,61.88000106811523,156.41000366210938,165.9199981689453,147.06602478027344,112.41000366210938,153.70462036132812,136.00399780273438,805.0599975585938,22.299999237060547,38.5,72.3968734741211,35.67734909057617,150.9638214111328,85.97000122070312,167.47999572753906,82.33171081542969,20.504297256469727,115.62000274658205,72.83000183105469,52.06999969482422,46.30552673339844,56.599998474121094,169.77000427246094,323.2108154296875,22.70928955078125,375.6506042480469,372.1600036621094,36.38000106811523,76.86000061035156,235.05999755859366,98.40226745605469,101.52384948730469,149.09425354003906,84.04000091552734,46.50097274780274,168.80999755859375,79.41000366210938,160.4600067138672,158.5800018310547,29.46999931335449,217.99835205078125,153.88999938964844,133.3699951171875,75.25,9.5600004196167,56.20319747924805,20.1299991607666,33.93000030517578,93.77999877929688,40.02646255493164,169.52999877929688
2020-01-03,137.00857543945312,280.90249633789057,88.12870788574219,34.112735748291016,321.399658203125,81.4029769897461,83.2697982788086,127.25102996826172,80.20036315917969,153.0404815673828,54.82717514038086,108.90071105957031,228.7348175048828,1113.8472900390623,59.44850158691406,47.39710235595703,47.1627197265625,41.7864990234375,69.54059600830078,204.97178649902344,197.77999877929688,61.18845748901367,199.54519653320312,289.4183044433594,132.664794921875,262.40057373046875,217.97999572753903,322.7300109863281,369.1600036621094,18.88999938964844,18.82624053955078,145.84754943847656,77.20999908447266,360.0172424316406,44.97999954223633,46.965370178222656,142.50999450683594,280.44000244140625,290.8500061035156,264.76998901367193,82.95999908447266,55.5681266784668,83.3711166381836,83.43814086914062,57.23861312866211,218.6999969482422,61.15999984741211,154.19000244140625,162.33999633789062,146.6815948486328,112.6500015258789,152.89724731445312,134.0721435546875,789.5399780273438,21.489999771118164,40.04999923706055,72.60337829589844,35.19548034667969,151.3617706298828,77.9000015258789,167.22999572753906,81.2962875366211,20.05747413635254,115.68000030517578,75.55999755859375,51.88999938964844,46.11366271972656,55.97999954223633,171.47999572753906,322.1911926269531,22.555328369140625,371.8096923828125,366.7799987792969,36.099998474121094,74.97000122070312,231.00999450683602,96.5409164428711,100.9285125732422,148.04261779785156,84.0,45.823280334472656,166.82000732421875,78.37000274658203,158.5800018310547,157.60000610351562,29.10000038146973,215.23681640625,152.6999969482422,132.53999328613278,75.08000183105469,9.09000015258789,55.58124160766602,19.899999618530273,33.959999084472656,92.73999786376952,39.81875991821289,168.08999633789062
2020-01-06,136.837646484375,282.85247802734375,88.72373962402344,34.06891632080078,323.7094421386719,81.75090026855469,83.70606231689453,127.72421264648438,80.83329010009766,153.49717712402344,54.73117446899414,109.86653137207031,230.4901123046875,1119.4190673828123,59.63788604736328,47.19839096069336,47.61799621582031,41.80448532104492,69.81473541259766,207.5438232421875,198.586669921875,61.73385620117188,203.2182922363281,292.8985595703125,131.64627075195312,266.08944702148443,224.02999877929688,325.5299987792969,371.739990234375,18.1299991607666,18.80722427368164,146.39962768554688,78.26667022705078,365.6317138671875,45.349998474121094,46.85968017578125,144.1999969482422,285.8800048828125,290.82000732421875,266.92999267578125,86.94000244140625,56.04780960083008,83.16634368896484,83.68479919433594,57.168800354003906,225.9900054931641,63.02999877929688,155.0,164.5,145.83387756347656,111.0,153.6258544921875,135.48426818847656,793.72998046875,21.38999938964844,44.58000183105469,72.76071166992188,35.24366760253906,151.4413604736328,77.33999633789062,169.4199981689453,82.4865493774414,20.722745895385746,115.97000122070312,75.55000305175781,52.38000106811523,45.94098663330078,55.9900016784668,177.80999755859375,323.0609436035156,22.882495880126953,376.1468811035156,372.0299987792969,36.22000122070313,76.11000061035156,228.8800048828125,97.54623413085938,101.47583770751952,149.01560974121094,84.58999633789062,46.20390319824219,179.0399932861328,79.12000274658203,156.4199981689453,158.32000732421875,28.82999992370605,215.71365356445312,153.4499969482422,137.35000610351562,75.55000305175781,9.06999969482422,55.88727951049805,20.07999992370605,33.47999954223633,93.9000015258789,39.62095260620117,170.7899932861328
2020-01-07,137.67329406738278,281.14505004882807,87.84049987792969,33.95499801635742,325.5413513183594,79.57420349121094,83.24070739746094,127.96565246582031,80.37216186523438,155.00624084472656,54.6735725402832,109.4840316772461,228.3223571777344,1125.127197265625,60.53747177124024,47.37817764282226,47.1441421508789,41.54376602172852,69.55005645751953,205.0011138916016,194.26666259765625,61.23547744750977,204.2102203369141,292.0114440917969,132.09123229980472,265.45681762695307,223.7899932861328,329.69000244140625,373.1300048828125,17.780000686645508,18.636075973510746,146.2024688720703,77.66999816894531,362.0005798339844,45.4000015258789,46.82124328613281,139.19999694824222,283.05999755859375,290.0899963378906,266.1199951171875,85.7300033569336,55.76564025878906,83.36136627197266,83.94131469726562,57.45803451538086,231.4499969482422,63.02999877929688,156.8000030517578,163.24000549316406,145.7057647705078,111.31999969482422,152.7593994140625,135.18026733398438,797.1599731445312,21.84000015258789,43.34000015258789,71.80683898925781,34.91599655151367,151.05337524414062,77.13999938964844,169.16000366210938,81.89625549316406,21.020627975463867,115.29000091552734,75.9800033569336,52.4900016784668,45.90261459350586,56.290000915527344,175.67999267578125,323.9405517578125,23.257776260375977,375.5711975097656,380.5400085449219,36.36999893188477,80.05999755859375,231.97999572753903,98.34253692626952,100.31396484375,148.44558715820312,84.20999908447266,46.22246551513672,180.3500061035156,81.56999969482422,155.25999450683594,157.91000366210938,28.709999084472656,214.54151916503903,154.69000244140625,139.25999450683594,75.11000061035156,9.100000381469727,56.183448791503906,19.799999237060547,33.290000915527344,95.0,39.828651428222656,168.8699951171875
2020-01-08,137.65431213378906,287.07275390625,87.84049987792969,34.226638793945305,326.05902099609375,79.03895568847656,83.58003997802734,129.12451171875,80.94178009033203,155.16510009765625,54.57756805419922,111.40614318847656,228.4950256347656,1136.79248046875,60.47119140625,47.26462936401367,47.36713027954102,41.72357177734375,68.68045043945311,206.04754638671875,193.9266662597656,61.874916076660156,207.62799072265625,299.7519226074219,131.80445861816406,266.10894775390625,231.08999633789062,332.1600036621094,382.4200134277344,17.979999542236328,18.66459846496582,147.16859436035156,77.15333557128906,370.0226440429688,45.63999938964844,46.7732048034668,141.6999969482422,286.0,292.6600036621094,271.67999267578125,86.22000122070312,52.511314392089844,84.57049560546875,84.77007293701172,57.12890243530274,233.22999572753903,64.37000274658203,157.60000610351562,161.3300018310547,147.45042419433594,111.1999969482422,153.86216735839844,137.8377685546875,797.0700073242188,21.81999969482422,45.099998474121094,72.2198486328125,35.137657165527344,149.0138702392578,76.52999877929688,173.83999633789062,82.68975830078125,21.070274353027344,115.47000122070312,74.83999633789062,52.290000915527344,46.05610656738281,56.68000030517578,176.9499969482422,327.5393981933594,23.47909545898437,376.6133728027344,381.7900085449219,36.18000030517578,79.68000030517578,226.3500061035156,98.13350677490234,100.72686767578124,148.3571014404297,84.70999908447266,46.473121643066406,178.69000244140625,79.48999786376953,156.5,158.99000549316406,28.559999465942386,213.6673889160156,154.92999267578125,143.77999877929688,75.52999877929688,8.920000076293945,56.77578735351562,20.1299991607666,33.68000030517578,95.12999725341795,40.43196487426758,168.9499969482422
2020-01-09,138.0626220703125,285.44287109375,88.110107421875,34.077674865722656,328.1597595214844,79.73478698730469,83.80301666259766,131.25868225097656,81.565673828125,156.53514099121094,55.14398574829102,113.21350860595705,229.1760406494141,1136.848876953125,61.97681045532226,47.38763809204102,47.53437423706055,41.93933486938477,68.86948394775389,206.9668273925781,195.26333618164062,61.91252136230469,207.0780029296875,298.708740234375,133.55474853515622,266.24520874023443,230.25999450683602,334.6000061035156,383.4700012207031,18.399999618530273,18.81673240661621,145.3348846435547,77.97333526611328,359.6719055175781,45.709999084472656,47.62834167480469,145.72000122070312,296.5400085449219,294.29998779296875,277.94000244140625,85.37000274658203,51.42967224121094,84.38522338867188,86.10198974609375,57.06906509399414,239.2700042724609,64.16000366210939,159.5,167.44000244140625,146.474609375,111.83000183105469,155.1519775390625,138.56346130371094,810.8599853515625,22.670000076293945,43.27000045776367,72.53453826904297,35.53278732299805,150.68527221679688,77.94999694824219,174.91000366210938,83.86067199707031,20.78232192993164,118.05999755859376,77.16999816894531,53.27999877929688,46.28633499145508,56.97000122070313,180.67999267578125,333.1374816894531,23.787017822265625,376.5636901855469,388.7300109863281,36.27999877929688,81.01000213623047,228.8000030517578,99.39763641357422,101.9655532836914,149.17286682128906,89.58000183105469,46.69593048095703,183.6000061035156,78.01000213623047,165.22999572753906,162.6300048828125,28.040000915527344,215.24679565429688,157.0500030517578,143.42999267578125,75.58000183105469,9.020000457763672,56.81528091430664,20.799999237060547,34.65999984741211,96.41000366210938,40.78802108764648,167.6699981689453
2020-01-10,137.749267578125,286.3257141113281,87.26406860351562,34.603439331054695,327.28363037109375,79.86859130859375,82.7559585571289,133.26736450195312,80.52586364746094,156.98191833496094,56.33441925048828,113.45257568359376,228.53338623046875,1139.8365478515625,61.76849365234375,47.170005798339844,47.96177291870117,42.0651969909668,68.16056823730469,205.0304718017578,199.5733337402344,61.150840759277344,206.5182037353516,300.00531005859375,134.05909729003906,267.140625,228.9499969482422,335.5299987792969,381.4100036621094,19.13999938964844,18.940338134765625,146.0447235107422,77.61333465576172,359.2870788574219,45.66999816894531,47.397743225097656,145.50999450683594,293.3299865722656,296.510009765625,281.6400146484375,85.16000366210938,50.99701690673828,83.76115417480469,86.41770935058594,57.32837295532226,237.3000030517578,64.48000335693361,159.3000030517578,163.0,147.8447265625,112.44000244140624,154.4726104736328,141.02481079101562,817.6900024414062,22.70000076293945,39.68000030517578,72.25919342041016,35.446048736572266,151.84927368164062,76.47000122070312,177.5800018310547,84.22840118408203,20.7028865814209,119.25,79.75,53.16999816894531,46.75639724731445,57.68999862670898,182.52999877929688,333.5373229980469,23.82550811767578,375.8590698242188,383.5199890136719,36.599998474121094,84.33999633789062,230.8800048828125,99.87540435791016,102.59928894042969,148.41607666015625,91.0999984741211,47.00228500366211,189.05999755859366,78.44999694824219,163.74000549316406,164.4600067138672,28.729999542236328,214.70042419433602,157.88999938964844,143.35000610351562,75.94999694824219,9.010000228881836,57.05221557617188,20.540000915527344,34.580001831054695,97.87999725341795,40.60999298095703,168.27999877929688
2020-01-13,138.35702514648438,277.3226318359375,87.12460327148438,34.53332901000977,330.5592041015625,79.85075378417969,82.52328491210938,134.17514038085938,80.03761291503906,158.42147827148438,56.61282730102539,112.8501205444336,227.2480926513672,1141.612548828125,62.6396713256836,46.99968338012695,47.76665496826172,42.20904159545898,68.77497100830078,202.331298828125,201.0399932861328,60.47378921508789,199.8693084716797,289.2817687988281,134.98860168457028,268.83425903320307,226.4900054931641,323.1499938964844,378.92999267578125,20.26000022888184,18.96886444091797,145.07858276367188,77.80000305175781,352.1431884765625,45.47000122070313,47.55147933959961,148.66000366210938,298.07000732421875,293.8999938964844,282.2900085449219,95.97000122070312,50.84652709960938,87.14476013183594,86.28947448730469,58.34568786621094,235.83999633789062,63.4000015258789,158.14999389648438,163.8000030517578,146.8885955810547,105.47000122070312,155.8313446044922,140.867919921875,822.5700073242188,22.649999618530273,37.83000183105469,71.85599517822266,35.72553253173828,155.142333984375,77.0999984741211,179.22000122070312,83.36714172363281,20.633380889892575,114.6500015258789,83.72000122070312,52.90999984741211,46.5357551574707,59.45000076293945,184.4499969482422,333.4373779296875,23.402114868164066,375.3429870605469,384.1400146484375,38.2599983215332,81.19999694824219,228.82000732421875,100.1640625,102.83088684082031,148.93699645996094,88.2699966430664,46.82589340209961,168.10000610351562,77.54000091552734,156.75,165.0,28.40999984741211,215.85272216796875,159.10000610351562,139.77000427246094,76.91999816894531,9.170000076293944,57.368125915527344,23.11000061035156,35.11999893188477,99.0199966430664,41.15396499633789,168.67999267578125
2020-01-14,139.13568115234378,279.64126586914057,87.74752044677734,35.11166381835937,331.3357238769531,80.22542572021484,83.47740936279297,135.82647705078122,80.82571411132812,160.22837829589844,57.198448181152344,111.92251586914062,230.20236206054688,1141.612548828125,62.91427993774414,47.48226547241211,47.36713027954102,42.289955139160156,69.78636932373047,203.37771606445312,200.89666748046875,60.3703498840332,201.51925659179688,289.4183044433594,135.74014282226562,268.60064697265625,229.75,317.1099853515625,387.6199951171875,20.0,18.997386932373047,145.81796264648438,78.67666625976562,352.5082702636719,42.65999984741211,48.20483779907226,147.77999877929688,287.6099853515625,298.9700012207031,284.0199890136719,96.87000274658205,51.37324142456055,86.9887466430664,86.81236267089844,59.9913330078125,235.05999755859366,63.16999816894531,158.92999267578125,167.75,146.2183380126953,107.75,155.88058471679688,147.75198364257812,830.6300048828125,22.440000534057614,34.529998779296875,72.97705841064453,36.09175109863281,155.68951416015625,81.47000122070312,180.38999938964844,85.96057891845703,21.050416946411133,118.44000244140624,84.61000061035156,53.52999877929688,47.0921516418457,60.31000137329102,185.25999450683602,335.95654296875,23.31551170349121,380.2657775878906,384.1600036621094,38.400001525878906,82.41000366210938,232.0800018310547,101.21916198730469,102.77300262451172,149.79205322265625,89.0199966430664,48.69187927246094,172.72999572753906,79.8499984741211,153.60000610351562,164.02999877929688,29.28000068664551,216.40899658203125,159.61000061035156,131.85000610351562,77.75,10.039999961853027,58.00983047485352,23.85000038146973,35.349998474121094,99.37999725341795,41.4308967590332,169.5399932861328
