Date,BTC-USD,ETH-USD,BNB-USD,ADA-USD,HEX-USD,XRP-USD,LUNA1-USD,AVAX-USD,DOGE-USD,SHIB-USD,MATIC-USD,CRO-USD,ALGO-USD,LINK-USD,BCH-USD,TRX-USD,FTM-USD,XLM-USD,MANA-USD,AXS-USD,HBAR-USD,VET-USD,FIL-USD,EGLD-USD,THETA-USD,ETC-USD,XMR-USD,XTZ-USD,MIOTA-USD,AAVE-USD,EOS-USD,CAKE-USD,CRV-USD,LRC-USD,KSM-USD,RUNE-USD,MKR-USD,BSV-USD,ENJ-USD,QNT-USD,AR-USD,CELO-USD,ZEC-USD,BAT-USD,KDA-USD,NEO-USD,CHZ-USD,WAVES-USD,ROSE-USD,DASH-USD,YFI-USD,COMP1-USD,HOT1-USD,CTC-USD,RVN-USD,IOTX-USD,XEM-USD,1INCH-USD,SUSHI-USD,OMI-USD,DFI-USD,VLX-USD,TFUEL-USD,CEL-USD,DCR-USD,GNO-USD,QTUM-USD,ANKR-USD,ZIL-USD,WAXP-USD,OMG-USD,ICX-USD,VGX-USD,BNT-USD,SNX-USD,ZRX-USD,SC-USD,CCXX-USD,ZEN-USD,BTG-USD
2019-12-31,7193.59912109375,129.61085510253906,13.727642059326172,0.03284500166773796,7.899999764049426e-05,0.19289399683475494,0.2587989866733551,,0.0020280000753700733,,0.013806999661028385,0.03357600048184395,0.2175299972295761,1.7694710493087769,204.6231689453125,0.013306000269949436,0.010835000313818455,0.04522399976849556,0.030138999223709106,,0.010219000279903412,0.005241000093519688,3.3658061027526855,,0.08710800111293793,4.496954917907715,44.56788635253906,1.3522570133209229,0.16013500094413757,,2.580686092376709,,,0.021671999245882034,1.1711469888687134,0.07083500176668167,430.9646301269531,97.07882690429688,0.0802529975771904,3.6606791019439697,,,27.62629508972168,0.181768000125885,,8.688425064086914,0.0070870001800358295,1.0096269845962524,,41.195194244384766,,,0.0006290000164881349,,0.022933000698685646,0.003389999968931079,0.032117001712322235,,,,,0.020221000537276268,0.002369999885559082,0.14142900705337524,16.8013973236084,11.281763076782227,1.6101529598236084,0.0014530000044032931,0.004474000073969364,0.016551999375224113,0.6061639785766602,0.11341799795627594,0.017709000036120415,0.2590390145778656,1.226912021636963,0.1818390041589737,0.0013000000035390258,,9.183075904846191,5.2967000007629395
2020-01-01,7200.17431640625,130.802001953125,13.689083099365234,0.03345799818634987,7.999999797903001e-05,0.19266700744628906,0.2310190051794052,,0.00203300011344254,,0.014961999841034412,0.033973000943660736,0.2199379950761795,1.8066400289535522,204.3975372314453,0.013249999843537807,0.010603000409901142,0.045451000332832336,0.0314829982817173,,0.010439000092446804,0.005367000121623278,3.844520092010498,,0.0869629979133606,4.502791881561279,45.753543853759766,1.37021005153656,0.1610579937696457,,2.597235918045044,,,0.022053999826312065,1.1729060411453247,0.07538100332021713,437.3314514160156,97.20179748535156,0.07985799759626389,3.8213319778442383,,,28.0501651763916,0.1961289942264557,,8.84899616241455,0.006653999909758568,1.0481810569763184,,41.86579132080078,,,0.0006300000241026282,,0.022725999355316162,0.0034149999264627695,0.0326480008661747,,,,,0.020162999629974365,0.00241199997253716,0.14569799602031708,16.92285919189453,11.277336120605469,1.6009360551834106,0.0014459999511018395,0.0045380000956356525,0.016402000561356544,0.6215800046920776,0.11405300348997116,0.017866000533103943,0.23960599303245544,1.2256920337677002,0.18295499682426453,0.0013089999556541443,,8.39111328125,5.298898220062256
2020-01-02,6985.47021484375,127.4101791381836,13.027010917663574,0.03275100141763687,7.000000186963007e-05,0.1880429983139038,0.21149300038814545,,0.0020089999306946993,,0.014650999568402767,0.032857999205589294,0.21351799368858337,1.7411439418792725,195.6985626220703,0.01286999974399805,0.010246999561786652,0.04411200061440468,0.032639000564813614,,0.010080000385642052,0.005096999928355217,4.459174156188965,,0.08502499759197235,4.255887985229492,45.74946975708008,1.241036057472229,0.15843600034713745,,2.4623770713806152,,,0.021902000531554222,1.1333750486373901,0.07846300303936005,425.4354553222656,92.8379135131836,0.07398100197315216,3.5347769260406494,,,27.118072509765625,0.18382099270820618,,8.493940353393555,0.006653999909758568,0.9532340168952942,,40.22325897216797,,,0.0006079999729990959,,0.02304299920797348,0.0033319999929517508,0.031911998987197876,,,,,0.01858000084757805,0.0022670000325888395,0.137937992811203,16.370250701904297,10.71318244934082,1.5386379957199097,0.0013970000436529517,0.0043830000795423985,0.016544999554753304,0.5949239730834961,0.10987000167369843,0.0267379991710186,0.20859099924564362,1.1199150085449219,0.17620700597763062,0.0012580000329762697,,7.6069111824035645,5.109612941741943
2020-01-03,7344.88427734375,134.1717071533203,13.660451889038086,0.03418000042438507,0.00012099999730708078,0.19352099299430847,0.2204979956150055,,0.002145000034943223,,0.015193999744951725,0.03466600179672241,0.22809800505638123,1.8097079992294312,222.41297912597656,0.013434999622404575,0.010351000353693962,0.04523399844765663,0.03280499950051308,,0.010382999666035175,0.005336000118404627,3.420578956604004,,0.08747199922800064,4.576237201690674,51.092037200927734,1.2822250127792358,0.1668590009212494,,2.6376609802246094,,,0.022306999191641808,1.2044249773025513,0.07838699966669083,433.53155517578125,102.6099624633789,0.07815500348806381,3.644010066986084,,,28.618680953979492,0.1877010017633438,,8.88754653930664,0.007224000059068203,0.9570410251617432,,44.0219612121582,,,0.0006840000278316438,,0.023056000471115112,0.003381999908015132,0.03212299942970276,,,,,0.02011900022625923,0.0023849999997764826,0.14606599509716034,17.280698776245117,11.016375541687012,1.6327099800109863,0.001415999955497682,0.004542000126093626,0.01722100004553795,0.6277769804000854,0.1131720021367073,0.027853000909090042,0.22367799282073975,1.1498169898986816,0.18244199454784393,0.00133200001437217,,8.17481517791748,5.390707015991211
2020-01-04,7410.65673828125,135.06936645507812,13.891511917114258,0.034595001488924026,9.200000204145908e-05,0.19435499608516693,0.2423350065946579,,0.0022410000674426556,,0.014960999600589275,0.034689001739025116,0.23638199269771576,1.8401329517364502,226.01869201660156,0.013520999811589718,0.010749000124633312,0.046271998435258865,0.035836998373270035,,0.011203000321984291,0.005673000123351812,3.270750045776367,,0.09374500066041946,4.726841926574707,50.53669357299805,1.2619420289993286,0.1742130070924759,,2.6678409576416016,,,0.022052999585866928,1.307908058166504,0.08720999956130981,440.24700927734375,109.6670913696289,0.07767999917268753,3.5269699096679688,,,30.238679885864258,0.1898909956216812,,9.152634620666504,0.007600999902933836,0.9510260224342346,,46.451866149902344,,,0.0006840000278316438,,0.023130999878048897,0.0035039999056607485,0.03209000080823898,,,,,0.01860699988901615,0.002435999922454357,0.14960800111293793,17.490995407104492,11.163619995117188,1.6510939598083496,0.0014299999456852674,0.004610999953001738,0.017433999106287956,0.6312909722328186,0.11425100266933441,0.025445999577641487,0.2243960052728653,1.158290982246399,0.18797700107097626,0.0013470000121742487,,8.006342887878418,5.407803058624268
2020-01-05,7411.3173828125,136.2767791748047,14.111019134521484,0.034720998257398605,5.400000009103678e-05,0.1955370008945465,0.24006099998950958,,0.0024190000258386135,,0.014914000406861305,0.03461800143122673,0.2316569983959198,1.8077869415283203,224.09652709960938,0.013623000122606754,0.010576999746263027,0.04535900056362152,0.036458998918533325,,0.011760000139474869,0.005504000000655651,3.4963390827178955,,0.09428899735212326,4.907898902893066,54.096893310546875,1.2635689973831177,0.17304399609565735,,2.7016310691833496,,,0.022122999653220177,1.3144739866256714,0.10011299699544907,442.0890197753906,110.8650894165039,0.0771000012755394,3.584027051925659,,,31.02127456665039,0.1888979971408844,,9.068814277648926,0.007660999894142151,0.8917620182037354,,51.47923278808594,,,0.000678999989759177,,0.023305000737309456,0.003530000103637576,0.03236300125718117,,,,,0.019790999591350555,0.0024079999420791864,0.14853200316429138,17.781299591064453,11.22146987915039,1.6380889415740967,0.0014179999707266688,0.0046430001966655254,0.01712300069630146,0.6397489905357361,0.11442899703979492,0.02791699953377247,0.22205500304698944,1.1273469924926758,0.1876620054244995,0.0013389999512583017,,7.448465824127197,5.431797027587891
2020-01-06,7769.21923828125,144.3041534423828,14.957807540893555,0.037271998822689056,7.300000288523734e-05,0.22150999307632446,0.2259099930524826,,0.0024629998952150345,,0.01558700017631054,0.03652900084853172,0.24214500188827515,1.937466025352478,244.5572052001953,0.014547999948263168,0.01079300045967102,0.04912399873137474,0.03698800131678581,,0.011342000216245651,0.005735000129789114,3.7768590450286865,,0.09923099726438522,5.046119213104248,58.970916748046875,1.3054859638214111,0.18289600312709808,,2.85638689994812,,,0.022484999150037766,1.309059977531433,0.09495999664068222,464.474365234375,117.81404113769531,0.07536700367927551,3.3819549083709717,,,32.89295959472656,0.19203199446201324,,9.773406028747559,0.007538999896496534,0.8958699703216553,,56.69977569580078,,,0.0007029999978840351,,0.024121999740600586,0.0038270000368356705,0.03331400081515312,,,,,0.020455000922083855,0.002443999983370304,0.14097300171852112,18.70553970336914,11.61385726928711,1.7366750240325928,0.0014380000066012144,0.004856000188738108,0.01768999919295311,0.6838279962539673,0.12473700195550919,0.02501700073480606,0.23257100582122803,0.9238439798355103,0.19630800187587738,0.0014100000262260437,,7.460204124450684,5.775293827056885
2020-01-07,8163.6923828125,143.5439910888672,15.009249687194824,0.037046998739242554,6.900000153109431e-05,0.21391700208187103,0.21824899315834045,,0.002432999899610877,,0.01510000042617321,0.03821900114417076,0.23093000054359436,2.114098072052002,243.2584991455078,0.014372999779880047,0.010448000393807888,0.049837999045848846,0.03366599977016449,,0.011037000454962254,0.005590000189840794,4.592199802398682,,0.0958930030465126,4.834597110748291,58.818294525146484,1.298295021057129,0.18570199608802795,,2.8534419536590576,,,0.02227799966931343,1.3169670104980469,0.09073100239038467,469.8860168457031,114.06281280517578,0.07269299775362015,3.8995490074157715,,,32.485595703125,0.1933789998292923,,9.821852684020996,0.007410000078380108,0.8889099955558777,,54.81892776489258,,,0.0006859999848529696,,0.024596000090241432,0.0038060001097619534,0.033782001584768295,,,,,0.018780000507831573,0.002357000019401312,0.1475590020418167,17.30234718322754,11.566162109375,1.7365950345993042,0.0013899999903514981,0.004813000094145536,0.018744999542832375,0.6726660132408142,0.12017600238323212,0.027024999260902405,0.22839200496673584,1.0215270519256592,0.18943700194358826,0.001436999998986721,,8.198479652404785,5.920959949493408
2020-01-08,8079.86279296875,141.2581329345703,14.602933883666992,0.036435000598430634,8.499999967170879e-05,0.20902599394321442,0.20352600514888763,,0.0022929999977350235,,0.01500600017607212,0.040192000567913055,0.2299090027809143,2.183605909347534,241.0552215576172,0.014069000259041786,0.010266999714076519,0.04871699959039688,0.03411199897527695,,0.010276000015437603,0.005520999897271395,4.206837177276611,,0.09774500131607056,4.973395824432373,59.46417236328125,1.3336089849472046,0.181099995970726,,2.7893788814544678,,,0.021741999313235283,1.3912620544433594,0.10041400045156479,484.58209228515625,114.17337036132812,0.07486700266599655,3.540213108062744,,,30.975454330444336,0.18420200049877167,,9.52566146850586,0.00711800018325448,0.8555430173873901,,52.91685485839844,,,0.0006760000251233578,,0.02414499968290329,0.0037090000696480274,0.033344998955726624,,,,,0.019961999729275703,0.0025100000202655792,0.1490509957075119,16.92250633239746,11.392230033874512,1.6915760040283203,0.0013989999424666166,0.00469700014218688,0.018074000254273415,0.6636899709701538,0.11731500178575516,0.02584500052034855,0.22482000291347504,0.9373220205307007,0.2130579948425293,0.0014280000468716025,,8.899214744567871,6.220696926116943
2020-01-09,7879.0712890625,138.9792022705078,14.498313903808594,0.03635900095105171,8.900000102585182e-05,0.20489899814128876,0.20677299797534943,,0.0022559999488294125,,0.014698999933898449,0.03874099999666214,0.2245199978351593,2.186048984527588,239.2226104736328,0.014062999747693539,0.010181000456213951,0.04645799845457077,0.03358300030231476,,0.010173000395298004,0.005367000121623278,3.9837419986724854,,0.09237100183963776,5.212575912475586,59.19731521606445,1.2899290323257446,0.1782580018043518,,2.763669967651367,,,0.022126000374555588,1.3377360105514526,0.09758500009775162,462.1171875,117.74229431152344,0.07219000160694122,3.3877511024475098,,,31.102432250976562,0.18636099994182587,,9.440098762512207,0.007104000076651573,0.8287259936332703,,50.89380645751953,,,0.000678999989759177,,0.023578999564051628,0.0035510000307112932,0.03306499868631363,,,,,0.0199350006878376,0.0023719999007880688,0.14271199703216553,16.472021102905273,11.14797306060791,1.6472630500793457,0.0013460000045597553,0.004614000208675861,0.01786400005221367,0.6437360048294067,0.11736699938774109,0.02419300004839897,0.21967600286006927,0.8666899800300598,0.20716799795627594,0.0014019999653100967,,8.52611255645752,5.841635227203369
