Date,EURUSD=X,JPY=X,GBPUSD=X,AUDUSD=X,NZDUSD=X
2019-12-31,1.120229721069336,108.87300109863281,1.3113033771514893,0.7001398801803589,0.6734777688980103
2020-01-01,1.1220825910568237,108.68099975585938,1.326259970664978,0.7017002105712891,0.6785798072814941
2020-01-02,1.1220825910568237,108.71299743652344,1.3250298500061035,0.7019514441490173,0.6737182140350342
2020-01-03,1.1171437501907349,108.54299926757812,1.3152703046798706,0.6985191702842712,0.6700212359428406
2020-01-06,1.1161960363388062,107.96399688720703,1.308010220527649,0.694420337677002,0.665530800819397
2020-01-07,1.1197994947433472,108.40599822998047,1.317002534866333,0.693731427192688,0.6669512391090393
2020-01-08,1.1154738664627075,108.01599884033203,1.31137216091156,0.6860399842262268,0.6631211638450623
2020-01-09,1.1113210916519165,109.03099822998047,1.3105130195617676,0.6873801350593567,0.6654289960861206
2020-01-10,1.1111111640930176,109.50700378417969,1.3070186376571655,0.6853210926055908,0.6607987880706787
2020-01-13,1.1116669178009033,109.56600189208984,1.3045634031295776,0.6900601387023926,0.6637682318687439
2020-01-14,1.1135733127593994,109.99199676513672,1.2988194227218628,0.6898902058601379,0.6626817584037781
2020-01-15,1.113089919090271,109.85399627685547,1.3022528886795044,0.6896551251411438,0.660969078540802
2020-01-16,1.1154004335403442,109.88300323486328,1.3041210174560547,0.6907795071601868,0.6619185209274292
2020-01-17,1.1139578819274902,110.17500305175781,1.3078734874725342,0.6901001930236816,0.6638211011886597
2020-01-20,1.1094592809677124,110.18000030517578,1.3007283210754395,0.6881791353225708,0.6619710922241211
2020-01-21,1.109693169593811,110.1729965209961,1.3005592823028564,0.6876397132873535,0.6608904600143433
2020-01-22,1.108561396598816,109.90799713134766,1.3048017024993896,0.684689998626709,0.6595305800437927
2020-01-23,1.1096439361572266,109.72799682617188,1.3144749402999878,0.6842987537384033,0.659639298915863
2020-01-24,1.1055220365524292,109.552001953125,1.311991572380066,0.6839804649353027,0.6614719033241272
2020-01-27,1.1025358438491821,108.802001953125,1.3061821460723877,0.680188775062561,0.6572720408439636
2020-01-28,1.101976990699768,108.91999816894531,1.3060115575790405,0.6761700510978699,0.6545788049697876
2020-01-29,1.1022562980651855,109.13200378417969,1.3024563789367676,0.6764206886291504,0.6540094017982483
2020-01-30,1.1016855239868164,108.98699951171875,1.3022021055221558,0.6752194762229919,0.6527202129364014
2020-01-31,1.1029127836227417,108.87699890136719,1.3089004755020142,0.6708257794380188,0.6485421061515808
2020-02-03,1.1089794635772705,108.37200164794922,1.31816565990448,0.66936194896698,0.6459489464759827
2020-02-04,1.1062926054000854,108.61199951171875,1.2997479438781738,0.6690497994422913,0.6461117267608643
2020-02-05,1.1047282218933105,109.4469985961914,1.3032711744308472,0.6731785535812378,0.6493801474571228
2020-02-06,1.1002310514450073,109.81400299072266,1.2997140884399414,0.6751797795295715,0.6481889486312866
2020-02-07,1.0982975959777832,109.96800231933594,1.2930254936218262,0.6733997464179993,0.6463000178337097
2020-02-10,1.0949305295944214,109.6449966430664,1.2891582250595093,0.6672316193580627,0.6399590373039246
2020-02-11,1.0913456678390503,109.76599884033203,1.2918227910995483,0.6690099835395813,0.6388592720031738
2020-02-12,1.091941475868225,109.84300231933594,1.2956557273864746,0.6720998883247375,0.6406519412994385
2020-02-13,1.0875948667526245,109.84600067138672,1.295756459236145,0.6713197827339172,0.6447120904922485
2020-02-14,1.0845986604690552,109.75800323486328,1.3046824932098389,0.6721997857093811,0.6443091630935669
2020-02-17,1.0841753482818604,109.79100036621094,1.3052955865859985,0.6725989580154419,0.6446580290794373
2020-02-18,1.0840108394622803,109.83000183105469,1.3008975982666016,0.6711999773979187,0.6438984274864197
2020-02-19,1.079540491104126,109.91899871826172,1.3002209663391113,0.6696000099182129,0.6394516229629517
2020-02-20,1.081009864807129,111.20999908447266,1.2928247451782227,0.6684000492095947,0.6389816999435425
2020-02-21,1.078799843788147,111.9540023803711,1.2883278131484985,0.6613800525665283,0.6332480907440186
2020-02-24,1.0839051008224487,111.55699920654297,1.29537034034729,0.6606900691986084,0.6323310732841492
2020-02-25,1.0849199295043945,110.85700225830078,1.292657732963562,0.6612007021903992,0.6344292163848877
2020-02-26,1.0881996154785156,110.28600311279297,1.3003394603729248,0.6605198383331299,0.6321592330932617
2020-02-27,1.0885894298553467,110.36299896240234,1.2906889915466309,0.6546516418457031,0.6286817193031311
2020-02-28,1.0997228622436523,109.66000366210938,1.2888922691345215,0.6580203175544739,0.6311696767807007
2020-03-02,1.1051311492919922,107.6969985961914,1.2807048559188843,0.6516313552856445,0.6229403614997864
2020-03-03,1.1144047975540161,108.48699951171875,1.2767152786254883,0.6547498106956482,0.6265585422515869
2020-03-04,1.118067979812622,107.03700256347656,1.2820841073989868,0.6582195162773132,0.6269199252128601
2020-03-05,1.113908290863037,107.677001953125,1.2874983549118042,0.6626901030540466,0.6300284266471863
2020-03-06,1.1223849058151245,106.24800109863281,1.295068383216858,0.6615506410598755,0.6313091516494751
2020-03-09,1.1386020183563232,103.93800354003906,1.3099292516708374,0.6613581776618958,0.6329394578933716
2020-03-10,1.1397960186004639,103.11199951171875,1.3075313568115234,0.6597998738288879,0.6341515779495239
2020-03-11,1.1316505670547485,105.0260009765625,1.2909722328186035,0.6499098539352417,0.6268099546432495
2020-03-12,1.1261515617370605,104.55000305175781,1.2818212509155273,0.647939920425415,0.6264290809631348
2020-03-13,1.1184931993484497,104.61000061035156,1.257023572921753,0.6274116039276123,0.6114487648010254
