Date,HON,UPS,UNP,BA,CAT,RTX,MMM,LMT,GE,DE,CNI,ADP,CSX,FDX,ITW,NSC,ABB,GPN,NOC,EMR,ETN,WM,CP,ROP,GD,TRI,LHX,JCI,CMI,TT,PH,INFO,CTAS,PCAR,PAYX,VRSK,TDG,ROK,RSG,ZTO,SWK,FAST,LUV,WCN,AME,CPRT,DAL,ODFL,EFX,GWW,KSU,RYAAY,IR,URI,XYL,DOV,CNHI,GNRC,HEI-A,KSU-P,HEI,EXPD,JBHT,MAS,WAB,IEX,J,CHRW,BAH,IEP,AVY,UAL,GGG,ZNH,TXT,TREX,LII,NDSN,XPO,TTC,PWR,ALLE,CEA,WSO,SNA,PNR,AAL,UHAL,AOS,OC,HUBB,BLDR,SPCE,AGCO,CSL,ACM,IAA,RHI
2019-12-31,170.05917358398438,110.905029296875,173.67332458496094,323.83331298828125,140.42771911621094,89.45507049560547,164.85400390625,368.4775695800781,89.05956268310547,168.4608917236328,86.76890563964844,164.82408142089844,23.665252685546875,147.3505401611328,171.51361083984375,187.50331115722656,22.42822265625,180.79563903808602,332.33746337890625,72.4234848022461,89.93289947509766,110.03462982177734,49.50754928588867,350.41107177734375,166.93247985839844,69.06696319580078,190.7091827392578,38.93730545043945,170.00721740722656,99.89744567871094,199.50640869140625,74.12240600585938,265.1285400390625,76.68537902832031,80.6938247680664,147.90074157714844,560.0,195.7912139892578,86.59040069580078,22.90257835388184,160.2347412109375,35.157150268554695,53.77304458618164,89.29175567626953,98.37779998779295,90.94000244140624,58.07864761352539,125.86583709716795,137.81829833984378,327.5321960449219,150.73312377929688,87.61000061035156,35.223087310791016,166.77000427246094,77.02644348144531,111.73014831542969,10.603979110717773,100.58999633789062,89.24405670166016,30.268733978271484,113.84158325195312,76.67361450195312,115.26465606689452,46.79376220703125,76.81554412841797,168.2625274658203,88.47905731201172,75.52307891845703,68.84205627441406,48.9080810546875,126.7095718383789,88.08999633789062,50.80598068237305,33.59999847412109,44.449554443359375,44.93999862670898,238.1232452392578,160.81825256347656,46.391151428222656,77.76081848144531,40.41962814331055,121.6924057006836,26.897056579589844,168.6407012939453,160.7018585205078,44.489593505859375,28.574403762817386,373.29730224609375,45.88676452636719,63.35642623901367,141.05897521972656,25.40999984741211,11.550000190734865,74.11534118652344,157.5418701171875,43.04636001586914,47.06000137329102,60.67109680175781
2020-01-02,173.70054626464844,110.64923095703124,175.09507751464844,331.34857177734375,143.13775634765625,91.47401428222656,168.1992950439453,377.9312744140625,95.20435333251952,171.96116638183594,88.03518676757812,164.6500701904297,23.93670082092285,151.14126586914062,173.47097778320312,190.08218383789062,22.68890953063965,183.8755798339844,343.67071533203125,73.58212280273438,91.02478790283205,110.28568267822266,50.15223693847656,361.233154296875,168.90139770507812,69.61679077148439,195.9523162841797,39.59725570678711,170.34921264648438,100.97218322753906,203.3352508544922,74.55524444580078,266.81344604492193,77.0828628540039,80.74125671386719,149.66357421875,567.4400024414062,198.6604156494141,86.78362274169922,23.26548767089844,162.43899536132812,35.423561096191406,54.6297492980957,90.21624755859376,99.42333221435548,93.4800033569336,58.63480758666992,127.35810089111328,140.05101013183594,333.52130126953125,152.98681640625,89.26000213623047,35.41514587402344,168.64999389648438,78.06271362304688,113.29084777832031,10.883537292480467,102.01000213623048,94.45735931396484,29.9273681640625,119.46634674072266,76.99791717529297,115.99506378173828,47.06678009033203,79.92567443847656,169.53427124023438,88.91244506835938,75.1657485961914,69.58729553222656,49.82262420654297,125.24701690673828,89.73999786376953,51.28473663330078,35.09999847412109,45.32658767700195,45.18000030517578,238.5819854736328,163.1785888671875,46.83352661132813,78.346435546875,40.79692077636719,122.52297973632812,28.00752830505371,167.8543701171875,160.3223876953125,45.02304458618164,28.982892990112305,379.6344604492188,46.011985778808594,63.49313354492188,141.70785522460938,25.40999984741211,11.789999961853027,75.04598236083984,159.702880859375,42.89665222167969,48.099998474121094,61.2475471496582
2020-01-03,171.8462371826172,110.58291625976562,173.8558349609375,330.7919006347656,141.15042114257812,91.59945678710938,166.7509307861328,391.5298461914063,95.5235595703125,170.68746948242188,87.47879791259766,164.3020477294922,23.838584899902344,149.270263671875,171.01705932617188,189.73443603515625,22.512014389038086,182.6178436279297,362.3277282714844,72.5754165649414,90.35067749023438,111.35745239257812,50.03378677368164,359.11614990234375,170.5579376220703,70.03157806396484,202.8531646728516,38.88947296142578,167.9647674560547,100.07029724121094,200.4757537841797,74.58475494384766,265.61135864257807,76.32669067382812,80.46614074707031,151.1194305419922,577.8400268554688,195.76222229003903,87.15072631835938,22.853534698486328,161.56890869140625,34.795589447021484,54.14162826538086,90.08838653564452,99.56141662597656,92.66000366210938,57.66153335571289,125.83931732177734,140.52311706542972,329.60272216796875,152.79983520507812,87.69999694824219,35.261497497558594,165.7100067138672,78.5221939086914,112.23421478271484,10.767858505249023,101.66999816894531,94.97569274902344,29.11220932006836,120.15448760986328,76.52619934082031,115.51142120361328,46.70600128173828,79.31352996826172,169.00599670410156,89.52312469482422,75.07881927490234,70.33251190185547,50.42702102661133,124.4721450805664,87.9000015258789,51.05024719238281,34.450000762939446,44.58908081054688,44.349998474121094,237.65475463867188,162.02313232421875,45.54132843017578,78.73685455322266,40.568565368652344,121.00840759277344,27.103425979614247,167.83566284179688,158.51048278808594,44.596282958984375,27.548194885253906,381.16412353515625,45.60743713378906,63.03416442871094,141.73648071289062,25.21999931335449,11.8100004196167,74.00981903076172,156.99673461914062,42.736961364746094,48.25,60.82481002807617
2020-01-06,170.54917907714844,110.09025573730469,172.36685180664062,331.7660827636719,141.05531311035156,91.79657745361328,166.90977478027344,390.9337463378906,96.88021850585938,171.9125518798828,87.22938537597656,164.52439880371094,23.71430969238281,149.38719177246094,170.47280883789062,189.2418670654297,22.633045196533203,186.1533660888672,363.11993408203125,73.17373657226562,90.52157592773438,111.93678283691406,50.26681137084961,355.73297119140625,172.36595153808594,70.75505065917969,204.0579376220703,39.3868293762207,165.41885375976562,99.19849395751952,200.56298828125,74.99790954589844,266.30108642578125,76.04553985595703,80.45665740966797,151.46604919433594,584.7999877929688,197.31759643554688,87.52751159667969,22.91238784790039,160.9888153076172,34.253250122070305,53.9224739074707,91.32758331298828,99.66991424560548,93.48999786376952,57.26427459716797,124.84449005126952,141.12310791015625,326.53564453125,152.43569946289062,86.8499984741211,34.83897018432617,165.3800048828125,78.01383972167969,112.24392700195312,10.71965789794922,101.25,96.12201690673828,29.525524139404297,121.11188507080078,75.504150390625,113.50775909423828,46.3452262878418,78.9876937866211,169.18209838867188,89.35568237304688,73.89094543457031,71.46487426757812,51.11888122558594,122.9030532836914,87.69999694824219,51.089332580566406,33.080001831054695,44.628944396972656,45.415000915527344,237.32290649414062,161.56883239746094,44.77881240844727,79.15654754638672,40.5784912109375,120.7836685180664,26.14035987854004,167.0961456298828,157.3436279296875,44.285911560058594,27.219409942626953,383.9155883789063,45.89640426635742,63.19041442871094,141.0780487060547,25.739999771118164,11.380000114440918,73.28064727783203,157.04541015625,42.66709899902344,48.31999969482422,60.344444274902344
2020-01-07,170.645263671875,109.90076446533205,171.0603790283203,335.28515625,139.19157409667972,91.50389862060548,166.23696899414062,392.2491149902344,96.16197967529295,168.9276123046875,86.95117950439453,162.53297424316406,23.87455940246582,150.8489227294922,169.7758026123047,189.9952545166016,22.595806121826172,185.55914306640625,362.2890319824219,73.35417938232422,90.04683685302734,112.01403045654295,50.6144027709961,357.5433044433594,170.406494140625,71.07337951660156,205.0313873291016,38.97555541992188,165.54232788085938,98.79264068603516,200.1558837890625,75.18480682373047,266.10403442382807,75.54141235351562,80.01078033447266,152.7337188720703,587.0,196.91183471679688,87.07344055175781,22.559284210205078,159.70298767089844,34.18663787841797,54.08185958862305,91.05220794677734,100.24198150634766,93.37000274658205,57.21461868286133,125.20262908935548,140.85755920410156,326.874267578125,152.88839721679688,88.37999725341797,34.579696655273445,165.0800018310547,77.7205581665039,112.55411529541016,10.546137809753418,102.9000015258789,96.6702651977539,29.525524139404297,122.0293960571289,75.3075942993164,116.12338256835938,45.90644454956055,78.95808410644531,167.09835815429688,89.67086791992188,75.63896942138672,71.04872131347656,51.88232803344727,122.63185119628906,86.7699966430664,51.089332580566406,33.22999954223633,44.60901641845703,45.375,234.1898498535156,160.9861602783203,45.11641311645508,78.89301300048828,40.38984680175781,119.33749389648438,26.110877990722656,164.9524383544922,156.32855224609375,43.89794921875,27.11977767944336,377.230712890625,45.58817672729492,63.31735610961914,140.86810302734375,25.93000030517578,11.359999656677244,72.5994644165039,154.8551483154297,43.01641845703125,48.27000045776367,60.38286972045898
2020-01-08,170.7893524169922,110.52606964111328,172.9336395263672,329.41009521484375,140.42771911621094,91.64126586914062,168.7880096435547,388.9653625488281,95.2841567993164,171.02777099609375,87.9680404663086,164.0603790283203,23.99884033203125,153.1194610595703,170.66383361816406,190.8838653564453,22.660978317260746,187.0347442626953,357.767333984375,73.6106185913086,90.32218170166016,112.08161926269531,50.46876907348633,361.4493408203125,170.84190368652344,71.70037841796875,203.6435089111328,39.29119491577149,165.62782287597656,98.63481903076172,200.29156494140625,75.95211029052734,271.23751831054693,76.54965209960938,80.79817962646484,154.14004516601562,585.6300048828125,198.4092559814453,87.15072631835938,22.853534698486328,160.4667510986328,34.44353485107422,54.16154861450195,91.73080444335938,100.46885681152344,94.01000213623048,58.44610595703125,125.79288482666016,143.8771209716797,330.328369140625,156.24440002441406,89.12000274658203,34.33002471923828,164.80999755859375,77.98450469970703,112.81585693359376,10.642538070678713,100.02999877929688,94.1662139892578,28.980915069580078,120.37279510498048,75.0619125366211,117.21896362304688,46.27697372436523,77.60541534423828,168.4385986328125,88.13432312011719,76.1025390625,71.67781066894531,50.71330642700195,122.99990844726562,87.30000305175781,51.30427551269531,33.189998626708984,44.02100372314453,47.19499969482422,237.92803955078125,160.1664581298828,45.50058364868164,79.64456176757812,40.31041717529297,119.84561920166016,26.14035987854004,163.91336059570312,158.05511474609375,44.062835693359375,27.73749542236328,376.2275085449219,45.52074813842773,63.327125549316406,141.43112182617188,26.190000534057607,11.420000076293945,72.73377990722656,155.87728881835938,43.64519500732422,47.77999877929688,60.45011901855469
2020-01-09,172.04800415039062,110.78186798095705,172.04983520507812,334.3507080078125,140.07589721679688,91.7786636352539,169.3206329345703,392.656005859375,95.04474639892578,172.68069458007812,88.29420471191406,165.51043701171875,24.1165771484375,154.01597595214844,171.51361083984375,191.53094482421875,22.502704620361328,189.5204925537109,359.7673034667969,73.88601684570312,90.37915802001952,112.1298828125,50.08233261108398,366.6402282714844,171.9115753173828,72.66500854492188,204.60731506347656,39.53030776977539,164.83935546875,98.09369659423828,200.77622985839844,76.91614532470703,275.24777221679693,76.05522918701172,81.34839630126953,155.62557983398438,595.4099731445312,200.13845825195312,87.87528991699219,22.7652587890625,159.7706756591797,34.46256637573242,54.0918197631836,92.20289611816406,99.9756851196289,95.29000091552734,58.55535507202149,128.67790222167972,145.54920959472656,332.0312805175781,157.37615966796875,90.0,34.378036499023445,163.22999572753906,78.33645629882812,113.53319549560548,10.642538070678713,99.4000015258789,94.8446044921875,28.77094078063965,121.84976196289062,75.4844970703125,117.4854736328125,46.3698616027832,77.46719360351562,170.1114501953125,89.52312469482422,76.71097564697266,73.67153930664062,51.58013153076172,124.68523406982422,87.94999694824219,51.82210540771485,34.0,44.99769973754883,48.459999084472656,241.3832092285156,162.58604431152344,45.82072067260742,80.33753967285156,41.0252799987793,120.0605926513672,26.680856704711914,164.56863403320312,158.10255432128906,44.32471466064453,27.84709167480469,377.4889831542969,45.3184814453125,63.31735610961914,138.87367248535156,26.290000915527344,12.039999961853027,72.73377990722656,156.38345336914062,45.77106857299805,47.0,61.06499862670898
2020-01-10,171.67327880859375,109.7776107788086,170.93553161621094,327.96868896484375,138.95384216308594,90.7094497680664,168.63848876953125,391.6150207519531,93.12948608398438,168.6261749267578,88.1407241821289,165.3944091796875,23.992300033569336,152.63221740722656,170.18638610839844,190.8065643310547,22.316499710083008,188.59950256347656,361.7286682128906,73.06927490234375,90.17977142333984,112.1974639892578,50.11534881591797,366.8779296875,169.92369079589844,72.40454864501953,202.7568206787109,39.19553756713867,162.85391235351562,98.5897216796875,199.01205444335938,76.9850082397461,274.74520874023443,75.43476867675781,80.89303588867188,155.80384826660156,595.469970703125,198.1290740966797,87.80767059326172,22.559284210205078,160.486083984375,34.56723022460937,53.73320007324219,92.2717514038086,99.38387298583984,95.30999755859376,58.83343505859375,130.6343994140625,144.3098907470703,330.2316589355469,155.7424774169922,96.18000030517578,33.74425506591797,159.47000122070312,78.15070343017578,112.22453308105469,10.497939109802246,98.7300033569336,94.78474426269531,28.864788055419922,119.84387969970705,75.8775863647461,117.53482055664062,46.23296356201172,76.7069320678711,168.33102416992188,89.26702117919922,77.37735748291016,74.19417572021484,51.11888122558594,124.4721450805664,87.30999755859375,51.314048767089844,34.709999084472656,44.14059829711914,48.48500061035156,241.57839965820312,161.57870483398438,45.43655395507813,79.96665954589844,40.777061462402344,120.60779571533205,27.33927917480469,163.93206787109375,157.99818420410156,43.89794921875,27.219409942626953,374.648193359375,45.86750411987305,63.405250549316406,137.699951171875,26.3700008392334,12.829999923706055,70.7957534790039,156.0330047607422,46.07048416137695,46.47000122070313,60.60385131835938
2020-01-13,174.16172790527344,110.61134338378906,172.81834411621094,328.26690673828125,139.60993957519528,90.82293701171876,169.0590057373047,396.5264587402344,96.72061157226562,169.89988708496094,89.60845184326172,166.62216186523438,24.42727851867676,155.21458435058594,171.6950225830078,193.44337463378903,22.33512115478516,191.4318389892578,364.0861206054688,73.49662780761719,90.06582641601562,113.6072006225586,51.012489318847656,370.58294677734375,171.4572296142578,73.49458312988281,204.90609741210938,39.36770629882813,163.86087036132812,98.71749114990234,201.6970977783203,78.6277847290039,278.69635009765625,75.67713928222656,81.83224487304688,156.49708557128906,604.5700073242188,199.56851196289062,88.7157974243164,23.14778709411621,159.809326171875,34.81461715698242,53.78300857543945,93.49127197265624,99.45291900634766,96.26000213623048,59.08171844482422,133.04852294921878,146.149169921875,333.26007080078125,157.6123504638672,94.79000091552734,34.032337188720696,157.44000244140625,79.46070098876953,113.54287719726562,10.555778503417967,100.91000366210938,96.77003479003906,28.347007751464844,121.87969970703124,76.27068328857422,116.96234130859376,46.70233535766602,77.44744873046875,169.5733642578125,89.76936340332031,77.7057113647461,75.88787841796875,51.492652893066406,126.8354721069336,86.88999938964844,51.98820114135742,35.459999084472656,44.8880729675293,48.71500015258789,239.78250122070312,163.31686401367188,46.26309585571289,80.92318725585938,40.74728012084961,121.7999038696289,27.938739776611328,165.06475830078125,158.8804473876953,44.56718826293945,27.289152145385746,378.7107238769531,46.75364685058594,63.541969299316406,139.34129333496094,26.790000915527344,13.699999809265135,71.48653411865234,156.4807891845703,46.98870086669922,46.29999923706055,60.02738952636719
2020-01-14,173.37387084960938,111.10398864746094,173.6829376220703,330.3843078613281,139.47683715820312,90.518310546875,169.47947692871094,393.80108642578125,96.00235748291016,168.85952758789062,90.26078033447266,165.52975463867188,24.417461395263672,157.9918212890625,170.56832885742188,194.81491088867188,22.232707977294922,189.4610748291016,361.9991760253906,73.00279998779297,89.34424591064453,114.0030746459961,50.84741592407226,369.10687255859375,171.30575561523438,73.92865753173828,205.0795745849609,39.19553756713867,163.77537536621094,98.36425018310548,200.4175720214844,77.77196502685547,277.3858642578125,75.81285858154297,82.17375183105469,155.3680877685547,609.0,196.01339721679688,89.0152816772461,23.24587059020996,161.12417602539062,35.03345489501953,54.28109359741211,93.56011962890624,99.46277618408205,96.33999633789062,61.02826690673828,135.29682922363278,144.76235961914062,329.23504638671875,156.78567504882812,93.8499984741211,33.54259490966797,154.33999633789062,79.54869842529297,113.53319549560548,10.497939109802246,102.13999938964844,95.33344268798828,28.347007751464844,120.70211791992188,77.36152648925781,117.44598388671876,46.50676727294922,77.53630065917969,169.20059204101562,91.18771362304688,78.95154571533203,75.94596099853516,51.73123168945313,127.39727020263672,87.8499984741211,51.79279708862305,35.40999984741211,45.19702529907226,47.93500137329102,236.7372894287109,163.04034423828125,47.48544692993164,81.11837768554688,40.31041717529297,121.86829376220705,27.73236656188965,165.2707061767578,159.8196258544922,44.20832443237305,27.428638458251953,378.3929138183594,45.50149154663086,62.72168731689453,138.18666076660156,26.43000030517578,13.970000267028807,71.51532745361328,157.47372436523438,49.6435432434082,48.27000045776367,60.15228652954102
