Date,NEE,DUK-PA,DUK,SO,D,DCUE,NGG,EXC,AEP,SRE,XEL,ES,PEG,AWK,WEC,DTE,ED,PCG,EIX,PPL,FTS,ETR,AEE,AES,FE,CMS,BIP,AGR,KEP,BEP,LNT,EVRG,ENIA,NI-PB,ATO,WTRG,AQN,NRG,VST,CMS-PB,PNW,NI,EBR-B,UGI,NFE,CWEN-A,CWEN,OGE,NEP,ORA,HNP,SBS,AY,SR-PA,IDA,PNM,OGS,BKH,POR,HE,SWX,NJR,ALE,ELP,SR,AWR,CWT,AVA,TAC,MGEE,SJI,AZRE,SJW,CPK,OTTR,KEN,NWN,PAM,MSEX,SPH,ALP-PQ,UTL,YORW,JE,ARTNA,IPLDP,GNE-PA,GNE,CWCO,SOLN,NMK-PC,ETI-P,WTRU
2019-12-31,58.171939849853516,25.009178161621094,84.05805969238281,58.5825080871582,76.76685333251953,97.81564331054688,56.47657012939453,43.10807800292969,88.34406280517578,141.2307586669922,61.00136184692383,80.51675415039062,55.08306884765625,119.2458267211914,87.16952514648438,103.0993881225586,83.59297180175781,10.869999885559082,68.86856842041016,32.034461975097656,38.05453109741211,111.49050903320312,72.91276550292969,18.777645111083984,44.560665130615234,59.477516174316406,40.8317756652832,47.61769104003906,11.292316436767578,23.003686904907227,52.03570556640625,60.6873779296875,9.98735523223877,24.789400100708008,106.47697448730469,44.95259475708008,12.954768180847168,37.136844635009766,21.607542037963867,101.86357879638672,82.9096450805664,25.99871063232422,8.390643119812012,42.037784576416016,15.511235237121582,17.453519821166992,18.305574417114258,40.39033126831055,49.031742095947266,73.56526184082031,17.70606803894043,14.425514221191406,24.34860610961914,2513.66748046875,100.82054138183594,48.08888626098633,88.23556518554688,73.34339141845703,51.75252914428711,43.815834045410156,71.14818572998047,41.29494094848633,75.03717041015625,6.42279577255249,77.18167877197266,83.87787628173828,49.88017654418945,44.341880798339844,6.864195823669434,76.38709259033203,29.94160270690918,12.579999923706055,68.2791748046875,92.57301330566406,48.72132110595703,14.684867858886719,68.60823059082031,16.43000030517578,62.16921615600586,18.0447940826416,24.653236389160156,57.86760330200195,45.011924743652344,1.6799999475479126,35.7264518737793,23.80508041381836,7.908718109130859,7.414520740509033,15.66390323638916,47.95975112915039,99.19538116455078,24.188312530517578,57.0200080871582
2020-01-02,57.321556091308594,25.108457565307617,83.25627899169922,57.58926773071289,75.9697036743164,97.12996673583984,56.17918395996094,42.956790924072266,87.3625717163086,139.03041076660156,59.93487548828125,78.77523040771484,54.76591110229492,116.67356872558594,85.69509887695312,102.17057800292969,82.1053695678711,10.850000381469727,67.92790985107422,31.623767852783203,37.90788269042969,109.7502212524414,72.20072937011719,18.900318145751953,43.57959747314453,58.40797805786133,40.88078308105469,47.291927337646484,11.674135208129883,22.544891357421875,50.999176025390625,59.14898681640625,10.141986846923828,25.162839889526367,105.06819152832031,43.93748092651367,12.854059219360352,36.24928665161133,21.46656036376953,101.39845275878906,81.7848892211914,25.382362365722656,8.44374942779541,41.66543960571289,14.640151023864746,17.42613410949707,18.39733123779297,40.017948150634766,48.69647979736328,73.92066192626953,18.02334976196289,14.358418464660645,24.2563419342041,2530.049072265625,99.64995574951172,47.121604919433594,87.16056060791016,71.57844543457031,50.91765213012695,43.030399322509766,70.93279266357422,41.01697540283203,74.43626403808594,6.403838157653809,76.44978332519531,83.09371185302734,48.98048400878906,43.77020263671875,6.729979515075684,75.28227996826172,29.43319320678711,12.609999656677246,66.90513610839844,91.27855682373047,49.101287841796875,15.120264053344727,68.54310607910156,15.84000015258789,60.848960876464844,17.81355857849121,25.076566696166992,56.93153762817383,43.82097244262695,1.7999999523162842,35.313602447509766,23.786516189575195,7.785282135009766,7.2706427574157715,15.442879676818848,47.41697692871094,99.19538116455078,24.188312530517578,56.19694519042969
2020-01-03,57.72993469238281,25.171630859375,83.31157684326172,57.534095764160156,75.7843246459961,97.0293960571289,56.053016662597656,43.08916473388672,87.26908874511719,137.76243591308594,60.223114013671875,78.42503356933594,54.75658416748047,117.43070220947266,86.23383331298828,102.41666412353516,81.8928451538086,10.569999694824219,68.293212890625,31.588056564331055,38.082027435302734,110.49473571777344,72.22919464111328,18.683286666870117,43.515419006347656,58.97587966918945,41.04414367675781,47.41291809082031,11.626408576965332,22.826087951660156,51.16083526611328,59.20492935180664,10.051027297973633,24.985013961791992,105.76306915283203,44.25350570678711,12.936457633972168,35.68873977661133,21.692127227783203,101.79381561279297,82.04302978515625,25.587812423706055,8.390643119812012,41.581661224365234,14.323392868041992,17.380489349365234,18.360628128051758,40.02702331542969,48.63128662109375,73.7923355102539,17.803014755249023,14.109207153320312,24.468547821044922,2513.66748046875,99.67827606201172,47.28282165527344,87.28314971923828,71.30762481689453,50.815608978271484,42.9649543762207,71.45724487304688,40.92432403564453,74.58419036865234,6.3621320724487305,76.6628646850586,83.75202941894531,49.33842086791992,43.93617248535156,6.70121955871582,74.92369079589844,29.478591918945312,12.6899995803833,67.10691833496094,91.24957275390625,48.82581329345703,14.896985054016113,68.82225036621094,15.5,60.87830352783203,17.97872543334961,25.172155380249023,57.30596160888672,43.87955093383789,1.840000033378601,35.22718811035156,23.786516189575195,7.7808732986450195,7.289826393127441,15.366000175476074,47.38138961791992,99.19538116455078,24.138235092163086,56.544464111328125
2020-01-06,58.0181999206543,25.25286102294922,83.71707153320312,57.764007568359375,76.3682861328125,97.41338348388672,56.02598190307617,43.15535354614258,87.5588607788086,138.91856384277344,60.13664245605469,78.8509521484375,54.224876403808594,117.20744323730469,86.29999542236328,102.39283752441406,81.62489318847656,10.380000114440918,68.61286163330078,31.623767852783203,38.16451644897461,110.8855972290039,72.29566955566406,18.900318145751953,43.597938537597656,59.24089050292969,41.174827575683594,47.189544677734375,11.301861763000488,23.171411514282227,51.11328887939453,59.03710174560547,10.005547523498535,24.922771453857422,105.62028503417969,44.100276947021484,12.963922500610352,34.92264938354492,21.325580596923828,101.72403717041016,81.9600601196289,25.578474044799805,8.390643119812012,41.553733825683594,14.590656280517578,17.40787696838379,18.41568374633789,39.890785217285156,48.61266326904297,73.9404067993164,17.76776123046875,13.764144897460938,24.606945037841797,2519.79248046875,99.67827606201172,47.17850875854492,86.83995056152344,71.33563232421875,50.97330856323242,42.85274887084961,70.87659454345703,40.470333099365234,74.3253402709961,6.3962554931640625,76.60728454589844,82.193359375,48.83536148071289,43.97305679321289,6.614937782287598,74.8558578491211,29.25162124633789,12.633000373840332,66.74179077148438,90.23526763916016,48.80681228637695,14.885818481445312,68.3290786743164,15.350000381469727,59.98835754394531,18.18518829345703,25.399751663208008,57.10002899169922,43.74288558959961,1.659999966621399,35.24639129638672,23.77203941345215,7.7588324546813965,7.2994184494018555,15.471710205078125,47.51485824584961,99.19538116455078,23.928813934326172,56.370704650878906
2020-01-07,57.967750549316406,25.288965225219727,83.19175720214844,57.58926773071289,76.20143127441406,97.2945327758789,55.78266906738281,43.193180084228516,87.57756042480469,138.806640625,60.01173782348633,78.2546615600586,53.7304801940918,116.47944641113281,85.96920013427734,102.0514907836914,81.00582885742188,10.579999923706055,69.27952575683594,31.40949249267578,38.12785339355469,110.86698150634766,72.56148529052734,18.966365814208984,43.570430755615234,58.938018798828125,40.97063064575195,47.06854248046875,11.10140609741211,23.240482330322266,51.16083526611328,59.07439422607422,10.051027297973633,24.74494171142578,106.32465362548828,44.35885238647461,12.982234001159668,34.4461669921875,21.457162857055664,102.31939697265625,81.75724792480469,25.80259895324707,8.45259952545166,41.31171798706055,15.194477081298828,17.289207458496094,18.333101272583008,40.00885772705078,48.70579147338867,73.41720581054688,17.662002563476562,13.495763778686523,24.42241668701172,2511.847412109375,99.2629165649414,46.65693664550781,85.80265808105469,71.15821075439453,51.17738342285156,42.60028076171875,70.09927368164062,40.210914611816406,73.52107238769531,6.377297401428223,76.2274398803711,81.52534484863281,48.30327606201172,43.6595573425293,6.605350494384766,74.13871002197266,28.679662704467773,12.420000076293945,65.77132415771484,89.4334716796875,48.42684555053711,14.631837844848633,67.58465576171875,15.260000228881836,59.60694885253906,18.218219757080078,25.62734603881836,56.91281509399414,43.547645568847656,1.6799999475479126,35.00635528564453,23.772598266601562,7.776464939117432,7.337785720825195,15.721563339233398,47.30130386352539,94.23140716552734,24.37497329711914,56.60847473144531
2020-01-08,57.94132614135742,25.3070125579834,83.31157684326172,57.57087326049805,75.71944427490234,96.9471206665039,55.530338287353516,43.505210876464844,87.31583404541016,139.75765991210938,59.95408630371094,78.32093048095703,54.06629943847656,116.95507049560547,86.0826187133789,101.99591827392578,80.3590316772461,10.609999656677246,69.16993713378906,31.588056564331055,38.21950912475586,110.70877838134766,72.43806457519531,18.92862319946289,43.66212463378906,58.91908645629883,40.962467193603516,46.84516143798828,10.89140510559082,23.403276443481445,51.27494812011719,59.186279296875,10.123795509338379,24.762725830078125,105.41085815429688,44.540802001953125,12.854059219360352,34.436824798583984,21.73912239074707,101.5379867553711,81.60050201416016,25.830617904663086,8.585363388061523,40.70664596557617,15.352855682373047,17.52654457092285,18.534969329833984,39.84537124633789,48.53816223144531,74.009521484375,17.547426223754883,13.275307655334473,24.634624481201172,2506.386474609375,98.8381118774414,46.45779037475586,85.37831115722656,71.05548858642578,51.19594192504883,42.693790435791016,70.35213470458984,39.52528762817383,74.16819763183594,6.346965789794922,75.28247833251953,80.92512512207031,47.809898376464844,43.189308166503906,6.519069671630859,74.1580810546875,28.298355102539062,12.069999694824219,65.43501281738281,88.1679916381836,48.569332122802734,15.022578239440918,67.3333969116211,14.949999809265137,59.94923782348633,18.276031494140625,25.718387603759766,56.706886291503906,43.10835647583008,1.6100000143051147,35.044761657714844,23.79579734802246,7.7588324546813965,7.165131568908691,15.731171607971191,47.434776306152344,94.23140716552734,24.195781707763672,56.809669494628906
2020-01-09,58.39535140991211,25.361164093017578,83.51432800292969,58.177852630615234,75.93263244628906,97.03854370117188,55.15184783935547,43.63759231567383,87.75515747070312,138.75074768066406,60.088600158691406,78.93612670898438,54.495391845703125,118.54695129394531,86.94268035888672,102.13880920410156,80.27586364746094,10.260000228881836,69.53522491455078,31.704120635986328,38.16451644897461,111.91861724853516,72.71338653564453,19.11734390258789,43.89133834838867,59.37339782714844,40.65207290649414,47.236080169677734,10.967769622802734,23.857133865356445,51.85502243041992,59.74569320678711,10.014643669128418,24.824966430664062,105.7535400390625,44.751487731933594,13.046320915222168,34.69842529296875,21.485361099243164,101.39845275878906,82.8727798461914,25.91466522216797,8.611915588378906,40.920745849609375,15.699309349060059,17.52654457092285,18.608375549316406,40.02680587768555,49.096927642822266,74.7104263305664,17.609119415283203,13.553274154663086,24.72688865661621,2506.386474609375,99.51779174804688,46.39140319824219,85.54804992675781,71.77454376220703,51.61337661743164,42.48807907104492,70.63308715820312,39.39558029174805,74.83377838134766,6.513792037963867,75.0416030883789,81.23492431640625,48.109798431396484,43.23540115356445,6.451960563659668,74.37128448486328,28.07139015197754,12.357999801635742,65.90583038330078,88.35153198242188,48.87330627441406,14.848138809204102,66.20745849609375,15.329999923706055,60.07637023925781,18.342098236083984,25.718387603759766,56.734962463378906,43.3524055480957,1.6100000143051147,35.015960693359375,23.777515411376953,7.741196155548096,7.184315204620361,15.587024688720703,47.73731231689453,94.29114532470703,24.074499130249023,57.009029388427734
2020-01-10,58.50585174560547,25.388240814208984,83.34844207763672,58.545719146728516,76.07167053222656,97.12996673583984,55.01667022705078,43.741600036621094,88.18514251708984,139.62713623046875,60.18467712402344,79.89208221435547,54.383453369140625,118.9643325805664,87.46250915527344,102.36109924316406,80.83950805664062,10.199999809265137,68.95075225830078,31.641618728637695,38.448638916015625,112.24433135986328,73.11212921142578,19.04185676574707,43.680450439453125,59.68574142456055,40.97063064575195,47.0126953125,10.986860275268555,23.714069366455078,52.36853790283203,60.14661407470703,10.105603218078613,24.99390411376953,106.02958679199219,44.83767318725586,13.101252555847168,34.857242584228516,21.391374588012695,101.39845275878906,83.49046325683594,25.811941146850586,8.70927619934082,41.05107116699219,15.214274406433105,17.417007446289062,18.4523868560791,40.512489318847656,49.739505767822266,73.97002410888672,17.609119415283203,13.361572265625,24.754568099975586,2513.66748046875,99.81987762451172,47.14057159423828,86.32129669189453,72.3348388671875,52.002986907958984,42.53483581542969,70.91405487060547,39.67353439331055,74.74134826660156,6.566872596740723,75.08792114257812,81.35108947753906,48.119476318359375,43.53968811035156,6.356093406677246,74.4100570678711,28.262041091918945,12.319999694824219,66.45352935791016,88.63166809082031,49.253273010253906,14.82371997833252,66.36565399169922,15.0600004196167,59.98835754394531,18.61463165283203,25.791215896606445,57.37148666381836,43.47931671142578,1.590000033378601,34.97755432128906,23.78345489501953,7.701521396636963,7.1171722412109375,15.42365837097168,47.95085144042969,93.71723937988281,24.211076736450195,57.157188415527344
2020-01-13,59.19047546386719,25.424345016479492,84.08570861816406,59.35502243041992,76.05313110351562,97.14825439453125,55.07073974609375,43.6754150390625,88.45622253417969,140.9417266845703,60.88606262207031,80.59246063232422,54.33681106567383,120.1097183227539,88.51161193847656,102.87712097167969,81.11670684814453,11.069999694824219,68.83203887939453,31.632694244384766,38.604454040527344,113.0912094116211,73.70074462890625,19.16452407836914,43.799652099609375,60.28202438354492,41.39537048339844,47.245384216308594,11.149134635925293,22.71755599975586,52.853519439697266,60.81791305541992,10.005547523498535,25.09170913696289,107.12425231933594,45.584651947021484,13.174495697021484,34.49288558959961,21.175201416015625,102.3287124633789,84.10816955566406,26.01738929748535,8.788933753967285,41.293094635009766,15.402350425720215,17.490032196044922,18.489091873168945,40.95234298706055,50.44727325439453,75.23362731933594,17.73250961303711,13.802484512329102,24.91141700744629,2519.127685546875,101.02822875976562,47.58628845214844,87.54718780517578,73.39940643310547,52.68015670776367,43.123905181884766,71.80376434326172,40.04413604736328,75.27752685546875,6.729907035827637,75.82907104492188,82.13526916503906,48.583831787109375,43.90851593017578,6.317744731903076,75.18537902832031,28.81584358215332,12.444999694824219,67.18379974365234,89.69429779052734,49.81372833251953,14.834186553955078,67.203125,14.390000343322754,61.27927017211914,18.366872787475586,25.527206420898438,58.00801467895508,44.38716506958008,1.6200000047683716,35.390411376953125,23.75867462158203,7.682125091552734,7.184315204620361,15.577414512634277,48.32456588745117,93.71723937988281,24.110918045043945,57.95281219482422
2020-01-14,59.509971618652344,25.46946907043457,84.14099884033203,59.70449447631836,75.96043395996094,97.09339141845703,55.15184783935547,43.31610870361328,88.78340148925781,140.98834228515625,60.98215103149414,81.25499725341797,54.45808410644531,120.91536712646484,88.79515075683594,103.40900421142578,81.10746002197266,11.920000076293945,68.52151489257812,31.766618728637695,38.5128059387207,113.14704132080078,73.68175506591797,19.24944496154785,44.047210693359375,60.47132873535156,42.465370178222656,47.273311614990234,11.044133186340332,22.707691192626953,52.89155578613281,61.13491439819336,9.960068702697754,25.216190338134766,107.3812484741211,45.93899154663086,13.137873649597168,35.034751892089844,21.306785583496094,102.3287124633789,84.85493469238281,26.316226959228516,8.594213485717773,41.07899475097656,15.451842308044434,17.973834991455078,19.01210594177246,41.29138946533203,50.735965728759766,75.36195373535156,17.988094329833984,14.137962341308594,24.902191162109375,2525.498779296875,100.99989318847656,47.58628845214844,87.58490753173828,73.48345947265625,52.86568069458008,43.32026672363281,72.74029541015625,40.127525329589844,75.09264373779297,6.809528350830078,76.19964599609375,81.65119934082031,47.88728332519531,43.853187561035156,6.394440174102783,74.96245574951172,28.40730094909668,12.170000076293945,66.72257995605469,89.9164810180664,49.6142463684082,14.666726112365723,67.04492950439453,14.369999885559082,60.83917999267578,18.309066772460938,25.527206420898438,57.31532287597656,44.221214294433594,1.600000023841858,35.63043975830078,23.71227264404297,7.714748382568359,7.222683429718018,15.53897762298584,48.60039520263672,93.71723937988281,24.290292739868164,58.25821304321289
