Date,AMT,PLD,CCI,EQIX,SPG-PJ,PSA-PK,PSA-PH,DLR,PSA,CSGP,SPG,SBAC,DLR-PK,DLR-PJ,WELL,WY,ARE,AVB,EQR,O,CBRE,VTR,INVH,BPYPP,PEAK,SUI,ESS,MAA,EXR,DRE,VNO-PM,MAA-PI,BXP,VICI,VNO-PL,NLY-PG,NLY-PF,MPW,WPC,NLY,ELS,UDR,FRT-PC,CPT,HST,AMH,MGP,GLPI,IRM,AMH-PH,COLD,AMH-PF,AMH-PG,AGNC,AGNCM,AGNCN,CONE,KIM-PM,STOR,LAMR,KIM-PL,OHI,JLL,REG,RDFN,VNO,KIM,SLG-PI,NNN,CUBE,FRT,KRC,REXR,PSB-PY,PSB-PX,HTA,PSB-PW,LSI,FSV,ACC,COR,EPR-PG,EGP,STWD,FR,BRX,HASI,DEI,HHC,CUZ,EQC-PD,IIPR
2019-12-31,221.17984008789062,85.14546203613281,133.8031463623047,570.16064453125,64.11210632324219,23.682701110839844,26.29695701599121,112.4592514038086,199.47567749023438,59.83000183105469,133.042236328125,238.42974853515625,24.700462341308594,23.278987884521484,75.60918426513672,28.70250129699707,153.67063903808594,195.36627197265625,75.29904174804688,65.1614990234375,61.290000915527344,52.61131286621094,28.800586700439453,23.425352096557617,31.594945907592773,143.97775268554688,282.1734619140625,123.26976776123047,99.2722396850586,33.054466247558594,22.98404884338379,57.910160064697266,127.32598114013672,22.9480037689209,22.605899810791016,22.031843185424805,22.43636703491211,18.977317810058594,71.02388000488281,7.452774524688721,67.4423828125,43.56704330444336,23.320459365844727,99.81934356689453,18.221099853515625,25.749237060546875,27.235958099365234,40.25376510620117,27.602027893066406,23.699596405029297,33.377384185791016,23.35999870300293,23.346363067626953,15.112422943115234,23.074914932250977,23.2447509765625,62.51996612548828,23.961801528930664,33.68404006958008,84.68342590332031,23.82556915283203,36.106754302978516,174.08999633789062,58.75673294067383,21.139999389648438,59.66611099243164,19.123140335083008,22.337820053100586,48.39372634887695,29.189884185791016,118.4478530883789,78.66182708740234,44.06066131591797,25.36446189880371,25.778249740600586,27.58731460571289,25.45020294189453,66.86257934570312,92.24366760253906,42.96009063720703,103.75199127197266,22.561269760131836,126.70867156982422,20.32461929321289,39.61007308959961,19.49368667602539,30.0731143951416,40.80131149291992,126.80000305175781,38.03648376464844,25.31818962097168,70.92552185058594
2020-01-02,219.9094696044922,84.43863677978516,133.36074829101562,565.9114379882812,63.81864929199219,23.650297164916992,26.648338317871094,110.82504272460938,198.0331573486328,62.066001892089844,129.58575439453125,236.33226013183594,24.835189819335938,23.459657669067383,74.09293365478516,27.932666778564453,151.91119384765625,193.074462890625,74.22891998291016,64.14378356933594,61.47999954223633,51.3812255859375,28.32009506225586,23.497514724731445,30.87084197998047,141.3878631591797,279.75372314453125,121.16632843017578,98.43572998046875,32.76844787597656,23.209028244018555,57.96281814575195,125.2201919555664,22.70549964904785,22.722469329833984,22.190563201904297,22.566560745239258,18.68964958190918,70.10990905761719,7.500244140625,66.19681549072266,43.025943756103516,23.583019256591797,98.8409194946289,17.90677261352539,25.444686889648438,26.681921005249023,39.954551696777344,26.337541580200195,23.94887924194336,32.69194030761719,23.734752655029297,23.596342086791992,15.197908401489258,23.173368453979492,23.379112243652344,61.45933151245117,24.276357650756836,32.64384841918945,83.91496276855469,24.06623077392578,35.52699279785156,175.32000732421875,57.44357681274414,21.625,58.768882751464844,18.09819221496582,22.69614028930664,47.274593353271484,29.004432678222656,115.27342987060547,77.33985900878906,43.59757614135742,25.690406799316406,26.10418128967285,26.758237838745117,25.766109466552734,65.61522674560547,92.49152374267578,42.101436614990234,102.5860366821289,22.88456916809082,125.1137466430664,20.185632705688477,39.342891693115234,18.735952377319336,29.362873077392578,40.429534912109375,123.56999969482422,37.5901985168457,25.560253143310547,68.83149719238281
2020-01-03,220.0153350830078,85.3842544555664,134.09495544433594,571.5476684570312,64.03703308105469,23.6086368560791,26.60085678100586,112.64710235595703,200.1687774658203,62.619998931884766,129.81797790527344,238.4693145751953,24.969919204711914,23.577091217041016,75.39653015136719,27.980186462402344,152.77664184570312,194.92845153808594,75.1873779296875,65.30311584472656,60.970001220703125,52.00082015991211,28.906295776367188,23.533594131469727,31.466629028320312,143.7091827392578,282.4923400878906,122.5312271118164,100.11814880371094,33.36909103393555,23.559995651245117,57.96281814575195,126.19918823242188,22.723461151123047,22.80317497253418,22.15400505065918,22.54920196533203,18.815502166748047,71.0682373046875,7.460686683654785,67.15494537353516,43.371131896972656,23.510723114013672,99.6312026977539,17.720142364501953,25.83765411376953,27.07766342163086,40.431427001953125,26.536741256713867,24.037904739379883,33.0822639465332,23.841829299926758,23.489206314086914,15.155160903930664,23.173368453979492,23.316410064697266,62.57728576660156,24.29486083984375,33.249874114990234,84.44625091552734,24.195817947387695,35.88508224487305,173.83999633789062,58.123435974121094,21.610000610351562,59.226470947265625,18.29210090637207,22.891651153564453,48.01466751098633,29.328969955444336,116.06473541259766,77.85552978515625,44.22467803955078,26.125001907348633,26.143688201904297,27.29576873779297,25.766109466552734,66.97989654541016,93.72090911865234,42.384613037109375,103.2800521850586,23.137969970703125,126.63227844238281,20.308269500732422,39.7341194152832,18.88686180114746,29.54977798461914,40.81059646606445,123.62000274658203,38.13875961303711,25.605079650878906,70.21504974365234
2020-01-06,219.9575958251953,85.04995727539062,132.9654083251953,570.9225463867188,64.03703308105469,23.70121955871582,26.6291561126709,111.63277435302734,200.8806915283203,62.45000076293945,130.4967803955078,238.6869659423828,24.99686622619629,23.556495666503906,76.54297637939453,27.92316246032715,153.1475372314453,195.2545166015625,75.40139770507812,65.63053131103516,60.689998626708984,52.53841018676758,29.012004852294922,23.59673500061035,31.759939193725586,143.06651306152344,281.36688232421875,122.7088394165039,100.05236053466797,33.00679397583008,23.68598747253418,59.23527145385742,127.0858383178711,22.489940643310547,22.81483268737793,22.066661834716797,22.49712562561035,18.905405044555664,71.54740905761719,7.484421253204346,67.07828521728516,43.277835845947266,23.3929386138916,100.10160064697266,17.258474349975586,25.95554542541504,26.901779174804688,40.66518783569336,26.99576759338379,24.215967178344727,33.21554946899414,23.9132137298584,23.658836364746094,15.155160903930664,23.182321548461914,23.316410064697266,63.141048431396484,24.424381256103516,33.322235107421875,83.9244384765625,24.267459869384766,35.91066360473633,173.74000549316406,58.27244567871094,21.40999984741211,59.99808883666992,18.532176971435547,22.91802215576172,48.321529388427734,29.097158432006836,117.43572235107422,78.06180572509766,44.03172302246094,26.223770141601562,26.351099014282227,27.341323852539062,25.795724868774414,67.92466735839844,93.06656646728516,42.14710998535156,103.43736267089844,23.050588607788086,126.2025146484375,20.251039505004883,39.38105773925781,19.060640335083008,29.680612564086914,41.033653259277344,124.06999969482422,37.85983657836914,25.954729080200195,72.47734069824219
2020-01-07,215.27066040039062,84.50548553466797,130.71572875976562,568.3828125,64.1712646484375,23.763526916503906,26.4328556060791,110.5339126586914,200.08453369140625,62.00299835205078,129.01416015625,234.92735290527344,25.005849838256836,23.577091217041016,76.04371643066406,27.742584228515625,148.13552856445312,191.0061798095703,74.28474426269531,65.64825439453125,60.619998931884766,52.101051330566406,28.387365341186523,23.59673500061035,31.558284759521484,140.9082794189453,277.9248046875,120.87653350830078,99.60118865966797,32.79704666137695,23.65899085998535,59.12014389038086,124.87846374511719,22.400123596191406,22.785240173339844,21.95331573486328,22.479764938354492,18.74358558654785,71.42317199707031,7.531890392303467,66.1680679321289,42.74607467651367,23.45635986328125,98.86913299560547,17.209362030029297,25.523279190063477,26.787452697753906,40.571678161621094,26.83121109008789,24.385122299194336,32.52058410644531,23.86859893798828,23.792757034301758,15.326122283935547,23.146520614624023,23.307453155517578,61.975311279296875,24.49839973449707,32.924251556396484,83.61135864257812,24.269866943359375,35.544044494628906,172.7100067138672,57.44357681274414,21.469999313354492,59.27132797241211,18.310569763183594,22.97955894470215,48.04174041748047,28.809707641601562,115.33782958984375,76.13040161132812,43.684410095214844,26.292911529541016,26.449867248535156,27.013338088989258,25.904220581054688,67.1898422241211,93.15579223632812,41.2427864074707,102.72484588623047,23.11175537109375,124.31147003173828,20.242862701416016,39.24746322631836,18.786256790161133,29.465673446655273,39.79753112792969,123.95999908447266,37.106727600097656,25.68693733215332,71.35554504394531
2020-01-08,217.13772583007812,84.96398162841797,131.2616729736328,570.2582397460938,64.1712646484375,23.79380226135254,26.496389389038086,111.49188995361328,200.44981384277344,62.53799819946289,129.8626251220703,237.47994995117188,25.104652404785156,23.626773834228516,76.06221008300781,27.84712791442871,150.1042022705078,191.79808044433594,74.44294738769531,65.94913482666016,60.20000076293945,51.84593200683594,28.675661087036133,23.5516357421875,31.613283157348633,141.93463134765625,279.528564453125,121.73660278320312,99.798583984375,32.987728118896484,23.70758628845215,59.147518157958984,124.2135009765625,22.54383087158203,22.776273727416992,21.9969425201416,22.462406158447266,18.806514739990234,71.00611877441406,7.476509094238281,66.85792541503906,42.80205154418945,23.556020736694336,99.07611846923828,17.327234268188477,25.46433448791504,26.787452697753906,40.674537658691406,26.80522918701172,24.41183090209961,32.615779876708984,23.975677490234375,23.632055282592773,15.283380508422852,23.227075576782227,23.370153427124023,62.06129837036133,24.38737678527832,33.16846466064453,84.16162872314453,24.297636032104492,35.58667755126953,170.4199981689453,57.90923309326172,21.459999084472656,59.14570999145508,18.236698150634766,23.190542221069336,48.204200744628906,28.75407600402832,115.72428894042969,76.48667907714844,43.27920913696289,26.332420349121094,26.272085189819336,27.113554000854492,26.00303840637207,67.18367004394531,94.93046569824219,41.14229965209961,102.69708251953125,23.103017807006836,124.43562316894531,20.161104202270508,39.46693801879883,18.713085174560547,29.783411026000977,39.26776885986328,121.93000030517578,37.45073699951172,25.918867111206055,72.00056457519531
2020-01-09,217.95578002929688,84.9735336303711,132.01470947265625,575.327880859375,64.20951843261719,23.932674407958984,26.458402633666992,111.50127410888672,200.5341033935547,62.96900177001953,128.8176727294922,238.6375274658203,25.023813247680664,23.53192138671875,76.23786926269531,28.075227737426758,149.57159423828125,192.2452850341797,74.82447052001953,64.82522583007812,60.560001373291016,51.54523849487305,28.666053771972656,23.650856018066406,31.787433624267578,141.87709045410156,280.8603820800781,121.81139373779297,99.5166015625,32.82565689086914,23.77597999572754,59.1738395690918,124.27813720703125,22.768369674682617,22.758337020874023,21.92713737487793,22.472299575805664,18.95035171508789,71.72488403320312,7.516067028045654,66.5225830078125,42.917659759521484,23.519777297973633,99.22664642333984,17.12095832824707,25.415218353271484,27.086456298828125,40.96440505981445,26.770584106445312,24.465246200561523,32.25402069091797,23.935522079467773,23.6475887298584,15.334670066833496,23.26287841796875,23.432857513427734,62.60594940185547,24.461393356323242,33.09610366821289,84.36085510253906,24.31614875793457,35.6463623046875,172.0500030517578,57.32250213623047,21.709999084472656,59.31618881225586,17.848880767822266,23.234498977661133,47.897335052490234,28.410991668701172,114.82256317138672,75.86788177490234,43.645816802978516,26.174386978149414,26.291839599609375,27.222883224487305,25.973421096801758,66.9366683959961,96.12019348144531,41.16970443725586,102.75259399414062,23.024377822875977,124.9227066040039,20.169282913208008,39.514644622802734,18.283214569091797,29.839479446411133,38.877410888671875,120.08000183105469,37.46004104614258,25.551288604736328,73.34673309326172
2020-01-10,222.1230010986328,85.4320297241211,134.0384521484375,580.2216796875,65.63079833984375,23.94480323791504,26.49847984313965,113.05095672607422,202.15457153320312,64.51300048828125,129.31781005859375,242.2289276123047,25.005849838256836,23.50482177734375,76.55223083496094,28.103742599487305,150.80796813964844,194.20172119140625,75.61542510986328,65.25885772705078,60.2400016784668,51.90970230102539,28.8870792388916,23.623794555664062,32.0165901184082,143.75714111328125,283.6178283691406,123.72783660888672,101.29302215576172,33.29281997680664,23.748981475830078,59.87590026855469,124.75838470458984,22.786333084106445,22.767303466796875,21.95331573486328,22.479764938354492,19.13014793395996,72.83407592773438,7.547713756561279,66.88666534423828,43.28423309326172,23.556020736694336,99.93224334716797,17.209362030029297,25.778711318969727,27.024898529052734,40.91764831542969,26.554065704345703,24.487503051757812,32.92042922973633,23.9042911529541,23.712406158447266,15.351760864257812,23.298683166503906,23.517057418823242,64.01057434082031,24.489147186279297,33.37650680541992,85.14830780029297,24.362428665161133,36.11527633666992,170.5399932861328,57.66708755493164,21.850000381469727,59.603302001953125,17.913515090942383,23.2081241607666,48.30347442626953,28.791166305541992,115.8623046875,75.89601135253906,44.292205810546875,26.085491180419922,26.222702026367188,27.541759490966797,25.97835922241211,67.893798828125,96.72498321533203,41.790855407714844,105.0475082397461,22.98068618774414,125.5625991821289,20.251039505004883,39.810462951660156,18.493576049804688,30.269365310668945,38.80305862426758,118.62999725341797,37.7668571472168,25.68576431274414,75.06680297851562
2020-01-13,226.55967712402344,87.68626403808594,134.87620544433594,581.159423828125,65.95401000976562,24.09006690979004,26.591358184814453,114.55366516113281,203.0537872314453,64.27400207519531,129.76441955566406,247.39349365234375,25.095666885375977,23.577091217041016,77.72638702392578,28.750022888183594,152.90980529785156,196.59608459472656,76.56456756591797,66.33853912353516,60.65999984741211,52.292396545410156,29.012004852294922,23.668895721435547,32.38322067260742,146.89373779296875,286.5252685546875,124.83096313476562,101.62199401855469,33.72184753417969,23.748981475830078,59.01588439941406,126.31925964355469,22.768369674682617,22.80317497253418,22.044933319091797,22.583919525146484,19.49872398376465,73.87227630615234,7.571448802947998,68.04601287841797,43.791812896728516,23.719100952148438,100.66608428955078,17.35670280456543,26.1422061920166,27.130430221557617,41.3010139465332,26.709962844848633,24.48305320739746,33.310752868652344,23.743677139282227,23.64990997314453,15.411600112915039,23.281673431396484,23.459732055664062,59.8731575012207,24.664928436279297,34.01871109008789,85.62267303466797,24.501272201538086,36.805870056152344,171.27000427246094,57.853355407714844,22.25,60.12369918823242,18.236698150634766,23.120216369628906,48.7276611328125,28.800434112548828,116.69963073730469,76.28040313720703,45.09295654296875,26.134876251220703,26.45974349975586,27.851524353027344,26.012910842895508,68.87279510498047,97.08190155029297,41.97355651855469,104.49227142333984,23.094280242919922,127.09073638916016,20.34096908569336,40.287567138671875,18.767961502075195,31.063718795776367,39.184120178222656,121.80000305175781,38.40839767456055,25.816303253173828,78.1985092163086
2020-01-14,225.15457153320312,86.5687026977539,133.6149139404297,572.8955688476562,66.21965789794922,24.164133071899414,26.638843536376953,113.40784454345703,202.61354064941406,63.99100112915039,131.4077911376953,246.0182647705078,24.799264907836914,23.568058013916016,77.68939971923828,29.120683670043945,152.60546875,195.1892852783203,75.52237701416016,66.33853912353516,60.279998779296875,51.93703842163086,28.704492568969727,23.714000701904297,32.264060974121094,146.88417053222656,283.0738525390625,124.1339340209961,101.8381576538086,33.35955810546875,23.7039852142334,59.76839065551758,125.97753143310547,22.87615203857422,22.848005294799805,22.058021545410156,22.66203498840332,19.327919006347656,73.25999450683594,7.595183849334717,67.63400268554688,43.641422271728516,23.854999542236328,100.79779052734375,17.366525650024414,26.014490127563477,27.235958099365234,41.24959182739258,26.502099990844727,24.555437088012695,33.34882354736328,23.806142807006836,23.444570541381836,15.471430778503418,23.31658172607422,23.54035186767578,58.92718505859375,24.701934814453125,33.85589599609375,85.52780151367188,24.575321197509766,36.533042907714844,168.63999938964844,58.356266021728516,22.360000610351562,60.05192565917969,18.504480361938477,22.97955894470215,48.78181457519531,28.716983795166016,117.47252655029297,75.69912719726562,44.600929260253906,26.05586051940918,26.341222763061523,27.578201293945312,26.00303840637207,69.25939178466797,97.87505340576172,42.00095748901367,105.25109100341797,23.11175537109375,126.69912719726562,20.479955673217773,39.88679504394531,18.831985473632812,30.820737838745117,39.03540802001953,123.41000366210938,38.31541061401367,25.963695526123047,78.83418273925781
